n,word_forward_count,word_backward_count,candidate_words,candidate_initials,ambiguous,printed_marker,beyond_last_marker
132,of,of,of,O,,,
133,government,government,government,G,,,
134,becomes,becomes,becomes,B,,,
135,destructive,destructive,destructive,D,,,
136,of,of,of,O,,,
137,these,these,these,T,,,
138,ends,ends,ends,E,,,
139,it,it,it,I,,,
140,is,is,is,I,,yes,
141,the,the,the,T,,,
142,right,right,right,R,,,
143,of,of,of,O,,,
144,the,the,the,T,,,
145,people,people,people,P,,,
146,to,to,to,T,,,
147,alter,alter,alter,A,,,
148,or,or,or,O,,,
149,to,to,to,T,,,
150,abolish,abolish,abolish,A,,yes,
151,it,it,it,I,,,
152,and,and,and,A,,,
153,to,to,to,T,,,
154,institute,institute,institute,I,,,
155,a,a,a,A,,,
156,new,new,new,N,,,
157,government,government,government,G,,,
158,laying,laying,laying,L,,,
159,its,its,its,I,,,
160,foundation,foundation,foundation,F,,yes,
161,on,on,on,O,,,
162,such,such,such,S,,,
163,principles,principles,principles,P,,,
164,and,and,and,A,,,
165,organizing,organizing,organizing,O,,,
166,its,its,its,I,,,
167,powers,powers,powers,P,,,
168,in,in,in,I,,,
169,such,such,such,S,,,
170,form,form,form,F,,yes,
171,as,as,as,A,,,
172,to,to,to,T,,,
173,them,them,them,T,,,
174,shall,shall,shall,S,,,
175,seem,seem,seem,S,,,
176,most,most,most,M,,,
177,likely,likely,likely,L,,,
178,to,to,to,T,,,
179,effect,effect,effect,E,,,
180,their,their,their,T,,yes,
181,safety,safety,safety,S,,,
182,and,and,and,A,,,
183,happiness,happiness,happiness,H,,,
184,prudence,prudence,prudence,P,,,
185,indeed,indeed,indeed,I,,,
186,will,will,will,W,,,
187,dictate,dictate,dictate,D,,,
188,that,that,that,T,,,
189,governments,governments,governments,G,,,
190,long,long,long,L,,yes,
191,established,established,established,E,,,
192,should,should,should,S,,,
193,not,not,not,N,,,
194,be,be,be,B,,,
195,changed,changed,changed,C,,,
196,for,for,for,F,,,
197,light,light,light,L,,,
198,and,and,and,A,,,
199,transient,transient,transient,T,,,
200,causes,causes,causes,C,,yes,
201,and,and,and,A,,,
202,accordingly,accordingly,accordingly,A,,,
203,all,all,all,A,,,
204,experience,experience,experience,E,,,
205,hath,hath,hath,H,,,
206,shown,shown,shown,S,,,
207,that,that,that,T,,,
208,mankind,mankind,mankind,M,,,
209,are,are,are,A,,,
210,now,now,now,N,,yes,
211,disposed,disposed,disposed,D,,,
212,to,to,to,T,,,
213,suffer,suffer,suffer,S,,,
214,while,while,while,W,,,
215,evils,evils,evils,E,,,
216,are,are,are,A,,,
217,sufferable,sufferable,sufferable,S,,,
218,than,than,than,T,,,
219,to,to,to,T,,,
220,right,right,right,R,,yes,
221,themselves,themselves,themselves,T,,,
222,by,by,by,B,,,
223,abolishing,abolishing,abolishing,A,,,
224,the,the,the,T,,,
225,forms,forms,forms,F,,,
226,to,to,to,T,,,
227,which,which,which,W,,,
228,they,they,they,T,,,
229,are,are,are,A,,,
230,accustomed,accustomed,accustomed,A,,yes,
231,but,but,but,B,,,
232,when,when,when,W,,,
233,a,a,a,A,,,
234,long,long,long,L,,,
235,train,train,train,T,,,
236,of,of,of,O,,,
237,abuses,abuses,abuses,A,,,
238,and,and,and,A,,,
239,usurpations,usurpations,usurpations,U,,,
240,pursuing,pursuing|invariably,pursuing|invariably,IP,yes,yes,
241,invariably,the,invariably|the,IT,yes,,
242,the,same,the|same,ST,yes,,
243,same,object,same|object,OS,yes,,
244,object,evinces,object|evinces,EO,yes,,
245,evinces,a,evinces|a,AE,yes,,
246,a,design,a|design,AD,yes,,
247,design,to,design|to,DT,yes,,
248,to,reduce,to|reduce,RT,yes,,
249,reduce,them,reduce|them,RT,yes,,
250,them|under,under,them|under,TU,yes,yes,
251,absolute,absolute,absolute,A,,,
252,despotism,despotism,despotism,D,,,
253,it,it,it,I,,,
254,is,is,is,I,,,
255,their,their,their,T,,,
256,right,right,right,R,,,
257,it,it,it,I,,,
258,is,is,is,I,,,
259,their,their,their,T,,,
260,duty,duty,duty,D,,yes,
261,to,to,to,T,,,
262,throw,throw,throw,T,,,
263,off,off,off,O,,,
264,such,such,such,S,,,
265,government,government,government,G,,,
266,and,and,and,A,,,
267,to,to,to,T,,,
268,provide,provide,provide,P,,,
269,new,new,new,N,,,
270,guards,guards,guards,G,,yes,
271,for,for,for,F,,,
272,their,their,their,T,,,
273,future,future,future,F,,,
274,security,security,security,S,,,
275,such,such,such,S,,,
276,has,has,has,H,,,
277,been,been,been,B,,,
278,the,the,the,T,,,
279,patient,patient,patient,P,,,
280,sufferance,sufferance,sufferance,S,,yes,
281,of,of,of,O,,,
282,these,these,these,T,,,
283,colonies,colonies,colonies,C,,,
284,and,and,and,A,,,
285,such,such,such,S,,,
286,is,is,is,I,,,
287,now,now,now,N,,,
288,the,the,the,T,,,
289,necessity,necessity,necessity,N,,,
290,which,which,which,W,,yes,
291,constrains,constrains,constrains,C,,,
292,them,them,them,T,,,
293,to,to,to,T,,,
294,alter,alter,alter,A,,,
295,their,their,their,T,,,
296,former,former,former,F,,,
297,systems,systems,systems,S,,,
298,of,of,of,O,,,
299,government,government,government,G,,,
300,the,the,the,T,,yes,
301,history,history,history,H,,,
302,of,of,of,O,,,
303,the,the,the,T,,,
304,present,present,present,P,,,
305,king,king,king,K,,,
306,of,of,of,O,,,
307,great,great,great,G,,,
308,britain,britain,britain,B,,,
309,is,is,is,I,,,
310,a,a,a,A,,yes,
311,history,history,history,H,,,
312,of,of,of,O,,,
313,repeated,repeated,repeated,R,,,
314,injuries,injuries,injuries,I,,,
315,and,and,and,A,,,
316,usurpations,usurpations,usurpations,U,,,
317,all,all,all,A,,,
318,having,having,having,H,,,
319,in,in,in,I,,,
320,direct,direct,direct,D,,yes,
321,object,object,object,O,,,
322,the,the,the,T,,,
323,establishment,establishment,establishment,E,,,
324,of,of,of,O,,,
325,an,an,an,A,,,
326,absolute,absolute,absolute,A,,,
327,tyranny,tyranny,tyranny,T,,,
328,over,over,over,O,,,
329,these,these,these,T,,,
330,states,states,states,S,,yes,
331,to,to,to,T,,,
332,prove,prove,prove,P,,,
333,this,this,this,T,,,
334,let,let,let,L,,,
335,facts,facts,facts,F,,,
336,be,be,be,B,,,
337,submitted,submitted,submitted,S,,,
338,to,to,to,T,,,
339,a,a,a,A,,,
340,candid,candid,candid,C,,yes,
341,world,world,world,W,,,
342,he,he,he,H,,,
343,has,has,has,H,,,
344,refused,refused,refused,R,,,
345,his,his,his,H,,,
346,assent,assent,assent,A,,,
347,to,to,to,T,,,
348,laws,laws,laws,L,,,
349,the,the,the,T,,,
350,most,most,most,M,,yes,
351,wholesome,wholesome,wholesome,W,,,
352,and,and,and,A,,,
353,necessary,necessary,necessary,N,,,
354,for,for,for,F,,,
355,the,the,the,T,,,
356,public,public,public,P,,,
357,good,good,good,G,,,
358,he,he,he,H,,,
359,has,has,has,H,,,
360,forbidden,forbidden,forbidden,F,,yes,
361,his,his,his,H,,,
362,governors,governors,governors,G,,,
363,to,to,to,T,,,
364,pass,pass,pass,P,,,
365,laws,laws,laws,L,,,
366,of,of,of,O,,,
367,immediate,immediate,immediate,I,,,
368,and,and,and,A,,,
369,pressing,pressing,pressing,P,,,
370,importance,importance,importance,I,,yes,
371,unless,unless,unless,U,,,
372,suspended,suspended,suspended,S,,,
373,in,in,in,I,,,
374,their,their,their,T,,,
375,operation,operation,operation,O,,,
376,till,till,till,T,,,
377,his,his,his,H,,,
378,assent,assent,assent,A,,,
379,should,should,should,S,,,
380,be,be,be,B,,yes,
381,obtained,obtained,obtained,O,,,
382,and,and,and,A,,,
383,when,when,when,W,,,
384,so,so,so,S,,,
385,suspended,suspended,suspended,S,,,
386,he,he,he,H,,,
387,has,has,has,H,,,
388,utterly,utterly,utterly,U,,,
389,neglected,neglected,neglected,N,,,
390,to,to,to,T,,yes,
391,attend,attend,attend,A,,,
392,to,to,to,T,,,
393,them,them,them,T,,,
394,he,he,he,H,,,
395,has,has,has,H,,,
396,refused,refused,refused,R,,,
397,to,to,to,T,,,
398,pass,pass,pass,P,,,
399,other,other,other,O,,,
400,laws,laws,laws,L,,yes,
401,for,for,for,F,,,
402,the,the,the,T,,,
403,accommodation,accommodation,accommodation,A,,,
404,of,of,of,O,,,
405,large,large,large,L,,,
406,districts,districts,districts,D,,,
407,of,of,of,O,,,
408,people,people,people,P,,,
409,unless,unless,unless,U,,,
410,those,those,those,T,,yes,
411,people,people,people,P,,,
412,would,would,would,W,,,
413,relinquish,relinquish,relinquish,R,,,
414,their,their,their,T,,,
415,right,right,right,R,,,
416,of,of,of,O,,,
417,representation,representation,representation,R,,,
418,in,in,in,I,,,
419,the,the,the,T,,,
420,legislature,legislature,legislature,L,,yes,
421,a,a,a,A,,,
422,right,right,right,R,,,
423,inestimable,inestimable,inestimable,I,,,
424,to,to,to,T,,,
425,them,them,them,T,,,
426,and,and,and,A,,,
427,formidable,formidable,formidable,F,,,
428,to,to,to,T,,,
429,tyrants,tyrants,tyrants,T,,,
430,only,only,only,O,,yes,
431,he,he,he,H,,,
432,has,has,has,H,,,
433,called,called,called,C,,,
434,together,together,together,T,,,
435,legislative,legislative,legislative,L,,,
436,bodies,bodies,bodies,B,,,
437,at,at,at,A,,,
438,places,places,places,P,,,
439,unusual,unusual,unusual,U,,,
440,uncomfortable,uncomfortable,uncomfortable,U,,yes,
441,and,and,and,A,,,
442,distant,distant,distant,D,,,
443,from,from,from,F,,,
444,the,the,the,T,,,
445,depositary,depositary,depositary,D,,,
446,of,of,of,O,,,
447,their,their,their,T,,,
448,public,public,public,P,,,
449,records,records,records,R,,,
450,for,for,for,F,,yes,
451,the,the,the,T,,,
452,sole,sole,sole,S,,,
453,purpose,purpose,purpose,P,,,
454,of,of,of,O,,,
455,fatiguing,fatiguing,fatiguing,F,,,
456,them,them,them,T,,,
457,into,into,into,I,,,
458,compliance,compliance,compliance,C,,,
459,with,with,with,W,,,
460,his,his,his,H,,yes,
461,measures,measures,measures,M,,,
462,he,he,he,H,,,
463,has,has,has,H,,,
464,dissolved,dissolved,dissolved,D,,,
465,representative,representative,representative,R,,,
466,houses,houses,houses,H,,,
467,repeatedly,repeatedly,repeatedly,R,,,
468,for,for,for,F,,,
469,opposing,opposing,opposing,O,,,
470,with,with,with,W,,yes,
471,manly,manly|he,manly|he,HM,yes,,
472,firmness,firmness|has,firmness|has,FH,yes,,
473,his,his|refused,his|refused,HR,yes,,
474,invasions,invasions|for,invasions|for,FI,yes,,
475,on,on|a,on|a,AO,yes,,
476,the,the|long,the|long,LT,yes,,
477,rights,rights|time,rights|time,RT,yes,,
478,of,of|after,of|after,AO,yes,,
479,the,the|such,the|such,ST,yes,,
480,people|dissolutions,people|dissolutions,people|dissolutions,DP,yes,yes,
481,he|to,to,he|to,HT,yes,,
482,has|cause,cause,has|cause,CH,yes,,
483,refused|others,others,refused|others,OR,yes,,
484,for|to,to,for|to,FT,yes,,
485,a|be,be,a|be,AB,yes,,
486,long|elected,elected,long|elected,EL,yes,,
487,time|whereby,whereby,time|whereby,TW,yes,,
488,after|the,the,after|the,AT,yes,,
489,such|legislative,legislative,such|legislative,LS,yes,,
490,powers,powers,powers,P,,yes,
491,incapable,incapable,incapable,I,,,
492,of,of,of,O,,,
493,annihilation,annihilation,annihilation,A,,,
494,have,have,have,H,,,
495,returned,returned,returned,R,,,
496,to,to,to,T,,,
497,the,the,the,T,,,
498,people,people,people,P,,,
499,at,at,at,A,,,
500,large,large,large,L,,yes,
501,for,,for,F,,,
502,their,for,their|for,FT,yes,,
503,exercise,their,exercise|their,ET,yes,,
504,the,exercise,the|exercise,ET,yes,,
505,state,the,state|the,ST,yes,,
506,remaining,state,remaining|state,RS,yes,,
507,in,remaining,in|remaining,IR,yes,,
508,the,in,the|in,IT,yes,,
509,,the,the,T,,,
510,meantime,meantime,meantime,M,,yes,
511,exposed,exposed,exposed,E,,,
512,to,to,to,T,,,
513,all,all,all,A,,,
514,the,the,the,T,,,
515,danger,danger,danger,D,,,
516,of,of,of,O,,,
517,invasion,invasion,invasion,I,,,
518,from,from,from,F,,,
519,without,without,without,W,,,
520,and,and,and,A,,yes,
521,convulsions,convulsions,convulsions,C,,,
522,within,within,within,W,,,
523,he,he,he,H,,,
524,has,has,has,H,,,
525,endeavored,endeavored,endeavored,E,,,
526,to,to,to,T,,,
527,prevent,prevent,prevent,P,,,
528,the,the,the,T,,,
529,population,population,population,P,,,
530,of,of,of,O,,yes,
531,these,these,these,T,,,
532,states,states,states,S,,,
533,for,for,for,F,,,
534,that,that,that,T,,,
535,purpose,purpose,purpose,P,,,
536,obstructing,obstructing,obstructing,O,,,
537,the,the,the,T,,,
538,laws,laws,laws,L,,,
539,of,of,of,O,,,
540,naturalization,naturalization,naturalization,N,,yes,
541,of,of,of,O,,,
542,foreigners,foreigners,foreigners,F,,,
543,refusing,refusing,refusing,R,,,
544,to,to,to,T,,,
545,pass,pass,pass,P,,,
546,others,others,others,O,,,
547,to,to,to,T,,,
548,encourage,encourage,encourage,E,,,
549,their,their,their,T,,,
550,migration,migration,migration,M,,yes,
551,hither,hither,hither,H,,,
552,and,and,and,A,,,
553,raising,raising,raising,R,,,
554,the,the,the,T,,,
555,conditions,conditions,conditions,C,,,
556,of,of,of,O,,,
557,new,new,new,N,,,
558,appropriations,appropriations,appropriations,A,,,
559,of,of,of,O,,,
560,lands,lands,lands,L,,yes,
561,he,he,he,H,,,
562,has,has,has,H,,,
563,obstructed,obstructed,obstructed,O,,,
564,the,the,the,T,,,
565,administration,administration,administration,A,,,
566,of,of,of,O,,,
567,justice,justice,justice,J,,,
568,by,by,by,B,,,
569,refusing,refusing,refusing,R,,,
570,his,his,his,H,,yes,
571,assent,assent,assent,A,,,
572,to,to,to,T,,,
573,laws,laws,laws,L,,,
574,for,for,for,F,,,
575,establishing,establishing,establishing,E,,,
576,judiciary,judiciary,judiciary,J,,,
577,powers,powers,powers,P,,,
578,he,he,he,H,,,
579,has,has,has,H,,,
580,made,made,made,M,,yes,
581,judges,judges,judges,J,,,
582,dependent,dependent,dependent,D,,,
583,on,on,on,O,,,
584,his,his,his,H,,,
585,will,will,will,W,,,
586,alone,alone,alone,A,,,
587,for,for,for,F,,,
588,the,the,the,T,,,
589,tenure,tenure,tenure,T,,,
590,of,of,of,O,,yes,
591,their,their,their,T,,,
592,offices,offices,offices,O,,,
593,and,and,and,A,,,
594,the,the,the,T,,,
595,amount,amount,amount,A,,,
596,and,and,and,A,,,
597,payment,payment,payment,P,,,
598,of,of,of,O,,,
599,their,their,their,T,,,
600,salaries,salaries,salaries,S,,yes,
601,he,he,he,H,,,
602,has,has,has,H,,,
603,erected,erected,erected,E,,,
604,a,a,a,A,,,
605,multitude,multitude,multitude,M,,,
606,of,of,of,O,,,
607,new,new,new,N,,,
608,offices,offices,offices,O,,,
609,and,and,and,A,,,
610,sent,sent,sent,S,,yes,
611,hither,hither,hither,H,,,
612,swarms,swarms,swarms,S,,,
613,of,of,of,O,,,
614,officers,officers,officers,O,,,
615,to,to,to,T,,,
616,harass,harass,harass,H,,,
617,our,our,our,O,,,
618,people,people,people,P,,,
619,and,and,and,A,,,
620,eat,eat,eat,E,,yes,
621,out,out,out,O,,,
622,their,their,their,T,,,
623,substance,substance,substance,S,,,
624,he,he,he,H,,,
625,has,has,has,H,,,
626,kept,kept,kept,K,,,
627,among,among,among,A,,,
628,us,us,us,U,,,
629,in,in,in,I,,,
630,times,times|of,times|of,OT,yes,yes,
631,of,peace,of|peace,OP,yes,,
632,peace,standing,peace|standing,PS,yes,,
633,standing,armies,standing|armies,AS,yes,,
634,armies,without,armies|without,AW,yes,,
635,without,the,without|the,TW,yes,,
636,the,consent,the|consent,CT,yes,,
637,consent,of,consent|of,CO,yes,,
638,of,our,of|our,O,yes,,
639,our,legislature,our|legislature,LO,yes,,
640,legislature|he,he,legislature|he,HL,yes,yes,
641,has,has,has,H,,,
642,offered,offered,offered,O,,,
643,to,to,to,T,,,
644,render,render,render,R,,,
645,the,the,the,T,,,
646,military,military,military,M,,,
647,independent,independent,independent,I,,,
648,of,of,of,O,,,
649,and,and,and,A,,,
650,superior,superior,superior,S,,yes,
651,to,to,to,T,,,
652,the,the,the,T,,,
653,civil,civil,civil,C,,,
654,power,power,power,P,,,
655,he,he,he,H,,,
656,has,has,has,H,,,
657,combined,combined,combined,C,,,
658,with,with,with,W,,,
659,others,others,others,O,,,
660,to,to,to,T,,yes,
661,subject,subject,subject,S,,,
662,us,us,us,U,,,
663,to,to,to,T,,,
664,a,a,a,A,,,
665,jurisdiction,jurisdiction,jurisdiction,J,,,
666,foreign,foreign,foreign,F,,,
667,to,to,to,T,,,
668,our,our,our,O,,,
669,constitution,constitution,constitution,C,,,
670,and,and|unacknowledged,and|unacknowledged,AU,yes,yes,
671,unacknowledged,by,unacknowledged|by,BU,yes,,
672,by,our,by|our,BO,yes,,
673,our,laws,our|laws,LO,yes,,
674,laws,giving,laws|giving,GL,yes,,
675,giving,his,giving|his,GH,yes,,
676,his,assent,his|assent,AH,yes,,
677,assent,to,assent|to,AT,yes,,
678,to,their,to|their,T,yes,,
679,their,acts,their|acts,AT,yes,,
680,acts|of,of,acts|of,AO,yes,yes,
681,pretended,pretended,pretended,P,,,
682,legislation,legislation,legislation,L,,,
683,for,for,for,F,,,
684,quartering,quartering,quartering,Q,,,
685,large,large,large,L,,,
686,bodies,bodies,bodies,B,,,
687,of,of,of,O,,,
688,armed,armed,armed,A,,,
689,troops,troops,troops,T,,,
690,among,among,among,A,,yes,
691,us,us,us,U,,,
692,for,for,for,F,,,
693,protecting,protecting,protecting,P,,,
694,them,them,them,T,,,
695,by,by,by,B,,,
696,a,a,a,A,,,
697,mock,mock,mock,M,,,
698,trial,trial,trial,T,,,
699,from,from,from,F,,,
700,punishment,punishment,punishment,P,,yes,
701,for,for,for,F,,,
702,any,any,any,A,,,
703,murders,murders,murders,M,,,
704,which,which,which,W,,,
705,they,they,they,T,,,
706,should,should,should,S,,,
707,commit,commit,commit,C,,,
708,on,on,on,O,,,
709,the,the,the,T,,,
710,inhabitants,inhabitants,inhabitants,I,,yes,
711,of,of,of,O,,,
712,these,these,these,T,,,
713,states,states,states,S,,,
714,for,for,for,F,,,
715,cutting,cutting,cutting,C,,,
716,off,off,off,O,,,
717,our,our,our,O,,,
718,trade,trade,trade,T,,,
719,with,with,with,W,,,
720,all,all,all,A,,yes,
721,parts,parts,parts,P,,,
722,of,of,of,O,,,
723,the,the,the,T,,,
724,world,world,world,W,,,
725,for,for,for,F,,,
726,imposing,imposing,imposing,I,,,
727,taxes,taxes,taxes,T,,,
728,on,on,on,O,,,
729,us,us,us,U,,,
730,without,without,without,W,,yes,
731,our,our,our,O,,,
732,consent,consent,consent,C,,,
733,for,for,for,F,,,
734,depriving,depriving,depriving,D,,,
735,us,us,us,U,,,
736,in,in,in,I,,,
737,many,many,many,M,,,
738,cases,cases,cases,C,,,
739,of,of,of,O,,,
740,the,the,the,T,,yes,
741,benefits,benefits,benefits,B,,,
742,of,of,of,O,,,
743,trial,trial,trial,T,,,
744,by,by,by,B,,,
745,jury,jury,jury,J,,,
746,for,for,for,F,,,
747,transporting,transporting,transporting,T,,,
748,us,us,us,U,,,
749,beyond,beyond,beyond,B,,,
750,seas,seas,seas,S,,yes,
751,to,to,to,T,,,
752,be,be,be,B,,,
753,tried,tried,tried,T,,,
754,for,for,for,F,,,
755,pretended,pretended,pretended,P,,,
756,offences,offences,offences,O,,,
757,for,for,for,F,,,
758,abolishing,abolishing,abolishing,A,,,
759,the,the,the,T,,,
760,free,free,free,F,,yes,
761,system,system,system,S,,,
762,of,of,of,O,,,
763,english,english,english,E,,,
764,laws,laws,laws,L,,,
765,in,in,in,I,,,
766,a,a,a,A,,,
767,neighboring,neighboring,neighboring,N,,,
768,province,province,province,P,,,
769,establishing,establishing,establishing,E,,,
770,therein,therein,therein,T,,yes,
771,an,an,an,A,,,
772,arbitrary,arbitrary,arbitrary,A,,,
773,government,government,government,G,,,
774,and,and,and,A,,,
775,enlarging,enlarging,enlarging,E,,,
776,its,its,its,I,,,
777,boundaries,boundaries,boundaries,B,,,
778,so,so,so,S,,,
779,as,as,as,A,,,
780,to,to,to,T,,yes,
781,render,render,render,R,,,
782,it,it,it,I,,,
783,at,at,at,A,,,
784,once,once,once,O,,,
785,an,an,an,A,,,
786,example,example,example,E,,,
787,and,and,and,A,,,
788,fit,fit,fit,F,,,
789,instrument,instrument,instrument,I,,,
790,for,for,for,F,,yes,
791,introducing,introducing,introducing,I,,,
792,the,the,the,T,,,
793,same,same,same,S,,,
794,absolute,absolute,absolute,A,,,
795,rule,rule,rule,R,,,
796,in,in,in,I,,,
797,these,these,these,T,,,
798,colonies,colonies,colonies,C,,,
799,for,for,for,F,,,
800,taking,taking,taking,T,,yes,
801,away,away,away,A,,,
802,our,our,our,O,,,
803,charters,charters,charters,C,,,
804,abolishing,abolishing,abolishing,A,,,
805,our,our,our,O,,,
806,most,most,most,M,,,
807,valuable,valuable,valuable,V,,,
808,laws,laws,laws,L,,,
809,and,and,and,A,,,
810,altering,altering,altering,A,,yes,
811,fundamentally,fundamentally,fundamentally,F,,yes,
812,the,the,the,T,,yes,
813,powers,powers,powers,P,,yes,
814,of,of,of,O,,yes,
815,our,our,our,O,,yes,
816,governments,governments,governments,G,,yes,
817,for,for,for,F,,,continued
818,suspending,suspending,suspending,S,,,continued
819,our,our,our,O,,,continued
820,own,own,own,O,,,continued
821,legislatures,legislatures,legislatures,L,,,continued
822,and,and,and,A,,,continued
823,declaring,declaring,declaring,D,,,continued
824,themselves,themselves,themselves,T,,,continued
825,invested,invested,invested,I,,,continued
826,with,with,with,W,,,continued
827,power,power,power,P,,,continued
828,to,to,to,T,,,continued
829,legislate,legislate,legislate,L,,,continued
830,for,for,for,F,,,continued
831,us,us,us,U,,,continued
832,in,in,in,I,,,continued
833,all,all,all,A,,,continued
834,cases,cases,cases,C,,,continued
835,whatsoever,whatsoever,whatsoever,W,,,continued
836,he,he,he,H,,,continued
837,has,has,has,H,,,continued
838,abdicated,abdicated,abdicated,A,,,continued
839,government,government,government,G,,,continued
840,here,here,here,H,,,continued
841,by,by,by,B,,,continued
842,declaring,declaring,declaring,D,,,continued
843,us,us,us,U,,,continued
844,out,out,out,O,,,continued
845,of,of,of,O,,,continued
846,his,his,his,H,,,continued
847,protection,protection,protection,P,,,continued
848,and,and,and,A,,,continued
849,waging,waging,waging,W,,,continued
850,war,war,war,W,,,continued
851,against,against,against,A,,,continued
852,us,us,us,U,,,continued
853,he,he,he,H,,,continued
854,has,has,has,H,,,continued
855,plundered,plundered,plundered,P,,,continued
856,our,our,our,O,,,continued
857,seas,seas,seas,S,,,continued
858,ravaged,ravaged,ravaged,R,,,continued
859,our,our,our,O,,,continued
860,coasts,coasts,coasts,C,,,continued
861,burnt,burnt,burnt,B,,,continued
862,our,our,our,O,,,continued
863,towns,towns,towns,T,,,continued
864,and,and,and,A,,,continued
865,destroyed,destroyed,destroyed,D,,,continued
866,the,the,the,T,,,continued
867,lives,lives,lives,L,,,continued
868,of,of,of,O,,,continued
869,our,our,our,O,,,continued
870,people,people,people,P,,,continued
871,he,he,he,H,,,continued
872,is,is,is,I,,,continued
873,at,at,at,A,,,continued
874,this,this,this,T,,,continued
875,time,time,time,T,,,continued
876,transporting,transporting,transporting,T,,,continued
877,large,large,large,L,,,continued
878,armies,armies,armies,A,,,continued
879,of,of,of,O,,,continued
880,foreign,foreign,foreign,F,,,continued
881,mercenaries,mercenaries,mercenaries,M,,,continued
882,to,to,to,T,,,continued
883,complete,complete,complete,C,,,continued
884,the,the,the,T,,,continued
885,works,works,works,W,,,continued
886,of,of,of,O,,,continued
887,death,death,death,D,,,continued
888,desolation,desolation,desolation,D,,,continued
889,and,and,and,A,,,continued
