n,word,initial
357,good,G
358,he,H
359,has,H
360,forbidden,F
361,his,H
362,governors,G
363,to,T
364,pass,P
365,laws,L
366,of,O
367,immediate,I
368,and,A
369,pressing,P
370,importance,I
371,unless,U
372,suspended,S
373,in,I
374,their,T
375,operation,O
376,till,T
377,his,H
378,assent,A
379,should,S
380,be,B
381,obtained,O
382,and,A
383,when,W
384,so,S
385,suspended,S
386,he,H
387,has,H
388,utterly,U
389,neglected,N
390,to,T
391,attend,A
392,to,T
393,them,T
394,he,H
395,has,H
396,refused,R
397,to,T
398,pass,P
399,other,O
400,laws,L
401,for,F
402,the,T
403,accommodation,A
404,of,O
405,large,L
406,districts,D
407,of,O
408,people,P
409,unless,U
410,those,T
411,people,P
412,would,W
413,relinquish,R
414,the,T
415,right,R
416,of,O
417,representation,R
418,in,I
419,the,T
420,legislature,L
421,a,A
422,right,R
423,inestimable,I
424,to,T
425,them,T
426,and,A
427,formidable,F
428,to,T
429,tyrants,T
430,only,O
431,he,H
432,has,H
433,called,C
434,together,T
435,legislative,L
436,bodies,B
437,at,A
438,places,P
439,unusual,U
440,uncomfortable,U
441,and,A
442,distant,D
443,from,F
444,the,T
445,depository,D
446,of,O
447,their,T
448,public,P
449,records,R
450,for,F
451,the,T
452,sole,S
453,purpose,P
454,of,O
455,fatiguing,F
456,them,T
457,into,I
458,compliance,C
459,with,W
460,his,H
461,measures,M
462,he,H
463,has,H
464,dissolved,D
465,representative,R
466,houses,H
467,repeatedly,R
468,for,F
469,opposing,O
470,with,W
471,manly,M
472,firmness,F
473,his,H
474,invasions,I
475,on,O
476,the,T
477,rights,R
478,of,O
479,the,T
480,people,P
481,he,H
482,has,H
483,refused,R
484,for,F
485,a,A
486,long,L
487,time,T
488,after,A
489,such,S
490,dissolutions,D
491,to,T
492,cause,C
493,others,O
494,to,T
495,be,B
496,elected,E
497,whereby,W
498,the,T
499,legislative,L
500,powers,P
501,incapable,I
502,of,O
503,annihilation,A
504,have,H
505,returned,R
506,to,T
507,the,T
508,people,P
509,at,A
510,large,L
511,for,F
512,their,T
513,exercise,E
514,the,T
515,state,S
516,remaining,R
517,in,I
518,the,T
519,mean,M
520,time,T
521,exposed,E
522,to,T
523,all,A
524,the,T
525,dangers,D
526,of,O
527,invasion,I
528,from,F
529,without,W
530,and,A
531,convulsions,C
532,within,W
533,he,H
534,has,H
535,endeavoured,E
536,to,T
537,prevent,P
538,the,T
539,population,P
540,of,O
541,these,T
542,states,S
543,for,F
544,that,T
545,purpose,P
546,obstructing,O
547,the,T
548,laws,L
549,for,F
550,naturalization,N
551,of,O
552,foreigners,F
553,refusing,R
554,to,T
555,pass,P
556,others,O
557,to,T
558,encourage,E
559,their,T
560,migrations,M
561,hither,H
562,and,A
563,raising,R
564,the,T
565,conditions,C
566,of,O
567,new,N
568,appropriations,A
569,of,O
570,lands,L
571,he,H
572,has,H
573,obstructed,O
574,the,T
575,administration,A
576,of,O
577,justice,J
578,by,B
579,refusing,R
580,his,H
581,assent,A
582,to,T
583,laws,L
584,for,F
585,establishing,E
586,judiciary,J
587,powers,P
588,he,H
589,has,H
590,made,M
591,judges,J
592,dependent,D
593,on,O
594,his,H
595,will,W
596,alone,A
597,for,F
598,the,T
599,tenure,T
600,of,O
601,their,T
602,offices,O
603,and,A
604,the,T
605,amount,A
606,and,A
607,payment,P
608,of,O
609,their,T
610,salaries,S
611,he,H
612,has,H
613,erected,E
614,a,A
615,multitude,M
616,of,O
617,new,N
618,offices,O
619,and,A
620,sent,S
621,hither,H
622,swarms,S
623,of,O
624,officers,O
625,to,T
626,harrass,H
627,our,O
628,people,P
629,and,A
630,eat,E
631,out,O
632,their,T
633,substance,S
634,he,H
635,has,H
636,kept,K
637,among,A
638,us,U
639,in,I
640,times,T
641,of,O
642,peace,P
643,standing,S
644,armies,A
645,without,W
646,the,T
647,consent,C
648,of,O
649,our,O
650,legislatures,L
651,he,H
652,has,H
653,affected,A
654,to,T
655,render,R
656,the,T
657,military,M
658,independent,I
659,of,O
660,and,A
661,superior,S
662,to,T
663,the,T
664,civil,C
665,power,P
666,he,H
667,has,H
668,combined,C
669,with,W
670,others,O
671,to,T
672,subject,S
673,us,U
674,to,T
675,a,A
676,jurisdiction,J
677,foreign,F
678,to,T
679,our,O
680,constitution,C
681,and,A
682,unacknowledged,U
683,by,B
684,our,O
685,laws,L
686,giving,G
687,his,H
688,assent,A
689,to,T
690,their,T
691,acts,A
692,of,O
693,pretended,P
694,legislation,L
695,for,F
696,quartering,Q
697,large,L
698,bodies,B
699,of,O
700,armed,A
701,troops,T
702,among,A
703,us,U
704,for,F
705,protecting,P
706,them,T
707,by,B
708,a,A
709,mock,M
710,trial,T
711,from,F
712,punishment,P
713,for,F
714,any,A
715,murders,M
716,which,W
717,they,T
718,should,S
719,commit,C
720,on,O
721,the,T
722,inhabitants,I
723,of,O
724,these,T
725,states,S
726,for,F
727,cutting,C
728,off,O
729,our,O
730,trade,T
731,with,W
732,all,A
733,parts,P
734,of,O
735,the,T
736,world,W
737,for,F
738,imposing,I
739,taxes,T
740,on,O
741,us,U
742,without,W
743,our,O
744,consent,C
745,for,F
746,depriving,D
747,us,U
748,in,I
749,many,M
750,cases,C
751,of,O
752,the,T
753,benefits,B
754,of,O
755,trial,T
756,by,B
757,jury,J
758,for,F
759,transporting,T
760,us,U
761,beyond,B
762,seas,S
763,to,T
764,be,B
765,tried,T
766,for,F
767,pretended,P
768,offences,O
769,for,F
770,abolishing,A
771,the,T
772,free,F
773,system,S
774,of,O
775,english,E
776,laws,L
777,in,I
778,a,A
779,neighbouring,N
780,province,P
781,establishing,E
782,therein,T
783,an,A
784,arbitrary,A
785,government,G
786,and,A
787,enlarging,E
788,its,I
789,boundaries,B
790,so,S
791,as,A
792,to,T
793,render,R
794,it,I
795,at,A
796,once,O
797,an,A
798,example,E
799,and,A
800,fit,F
801,instrument,I
802,for,F
803,introducing,I
804,the,T
805,same,S
806,absolute,A
807,rule,R
808,into,I
809,these,T
810,colonies,C
811,for,F
812,taking,T
813,away,A
814,our,O
815,charters,C
816,abolishing,A
817,our,O
818,most,M
819,valuable,V
820,laws,L
821,and,A
822,altering,A
823,fundamentally,F
824,the,T
825,forms,F
826,of,O
827,our,O
828,governments,G
829,for,F
830,suspending,S
831,our,O
832,own,O
833,legislatures,L
834,and,A
835,declaring,D
836,themselves,T
837,invested,I
838,with,W
839,power,P
840,to,T
841,legislate,L
842,for,F
843,us,U
844,in,I
845,all,A
846,cases,C
847,whatsoever,W
848,he,H
849,has,H
850,abdicated,A
851,government,G
852,here,H
853,by,B
854,declaring,D
855,us,U
856,out,O
857,of,O
858,his,H
859,protection,P
860,and,A
861,waging,W
862,war,W
863,against,A
864,us,U
865,he,H
866,has,H
867,plundered,P
868,our,O
869,seas,S
870,ravaged,R
871,our,O
872,coasts,C
873,burnt,B
874,our,O
875,towns,T
876,and,A
877,destroyed,D
878,the,T
879,lives,L
880,of,O
881,our,O
882,people,P
883,he,H
884,is,I
885,at,A
886,this,T
887,time,T
888,transporting,T
889,large,L
890,armies,A
891,of,O
892,foreign,F
893,mercenaries,M
894,to,T
895,compleat,C
896,the,T
897,works,W
898,of,O
899,death,D
900,desolation,D
901,and,A
902,tyranny,T
903,already,A
904,begun,B
905,with,W
906,circumstances,C
907,of,O
908,cruelty,C
909,perfidy,P
910,scarcely,S
911,paralleled,P
912,in,I
913,the,T
914,most,M
915,barbarous,B
916,ages,A
917,and,A
918,totally,T
919,unworthy,U
920,the,T
921,head,H
922,of,O
923,a,A
924,civilized,C
925,nation,N
926,he,H
927,has,H
928,constrained,C
929,our,O
930,fellow,F
931,citizens,C
932,taken,T
933,captive,C
934,on,O
935,the,T
936,high,H
937,seas,S
938,to,T
939,bear,B
940,arms,A
941,against,A
942,their,T
943,country,C
944,to,T
945,become,B
946,the,T
947,executioners,E
948,of,O
949,their,T
950,friends,F
951,and,A
952,brethren,B
953,or,O
954,to,T
955,fall,F
956,themselves,T
957,by,B
958,their,T
959,hands,H
960,he,H
961,has,H
962,excited,E
963,domestic,D
964,insurrections,I
965,amongst,A
966,us,U
967,and,A
968,has,H
969,endeavoured,E
970,to,T
971,bring,B
972,on,O
973,the,T
974,inhabitants,I
975,of,O
976,our,O
977,frontiers,F
978,the,T
979,merciless,M
980,indian,I
981,savages,S
982,whose,W
983,known,K
984,rule,R
985,of,O
986,warfare,W
987,is,I
988,an,A
989,undistinguished,U
990,destruction,D
991,of,O
992,all,A
993,ages,A
994,sexes,S
995,and,A
996,conditions,C
997,in,I
998,every,E
999,stage,S
1000,of,O
1001,these,T
1002,oppressions,O
1003,we,W
1004,have,H
1005,petitioned,P
1006,for,F
1007,redress,R
1008,in,I
1009,the,T
1010,most,M
1011,humble,H
1012,terms,T
1013,our,O
1014,repeated,R
1015,petitions,P
1016,have,H
1017,been,B
1018,answered,A
1019,only,O
1020,by,B
1021,repeated,R
1022,injury,I
1023,a,A
1024,prince,P
1025,whose,W
1026,character,C
1027,is,I
1028,thus,T
1029,marked,M
1030,by,B
1031,every,E
1032,act,A
1033,which,W
1034,may,M
1035,define,D
1036,a,A
1037,tyrant,T
1038,is,I
1039,unfit,U
1040,to,T
1041,be,B
1042,the,T
1043,ruler,R
1044,of,O
1045,a,A
1046,free,F
1047,people,P
1048,nor,N
1049,have,H
1050,we,W
1051,been,B
1052,wanting,W
1053,in,I
1054,attentions,A
1055,to,T
1056,our,O
1057,brittish,B
1058,brethren,B
1059,we,W
1060,have,H
1061,warned,W
1062,them,T
1063,from,F
1064,time,T
1065,to,T
1066,time,T
1067,of,O
1068,attempts,A
1069,by,B
1070,their,T
1071,legislature,L
1072,to,T
1073,extend,E
1074,an,A
1075,unwarrantable,U
1076,jurisdiction,J
1077,over,O
1078,us,U
1079,we,W
1080,have,H
1081,reminded,R
1082,them,T
1083,of,O
1084,the,T
1085,circumstances,C
1086,of,O
1087,our,O
1088,emigration,E
1089,and,A
1090,settlement,S
1091,here,H
1092,we,W
1093,have,H
1094,appealed,A
1095,to,T
1096,their,T
1097,native,N
1098,justice,J
1099,and,A
1100,magnanimity,M
1101,and,A
1102,we,W
1103,have,H
1104,conjured,C
1105,them,T
1106,by,B
1107,the,T
1108,ties,T
1109,of,O
1110,our,O
1111,common,C
1112,kindred,K
1113,to,T
1114,disavow,D
1115,these,T
1116,usurpations,U
1117,which,W
1118,would,W
1119,inevitably,I
1120,interrupt,I
1121,our,O
1122,connections,C
1123,and,A
1124,correspondence,C
1125,they,T
1126,too,T
1127,have,H
1128,been,B
1129,deaf,D
1130,to,T
1131,the,T
1132,voice,V
1133,of,O
1134,justice,J
1135,and,A
1136,of,O
1137,consanguinity,C
1138,we,W
1139,must,M
1140,therefore,T
1141,acquiesce,A
1142,in,I
1143,the,T
1144,necessity,N
1145,which,W
1146,denounces,D
1147,our,O
1148,separation,S
1149,and,A
1150,hold,H
1151,them,T
1152,as,A
1153,we,W
1154,hold,H
1155,the,T
1156,rest,R
1157,of,O
1158,mankind,M
1159,enemies,E
1160,in,I
1161,war,W
1162,in,I
1163,peace,P
1164,friends,F
1165,we,W
1166,therefore,T
1167,the,T
1168,representatives,R
1169,of,O
1170,the,T
1171,united,U
1172,states,S
1173,of,O
1174,america,A
1175,in,I
1176,general,G
1177,congress,C
1178,assembled,A
1179,appealing,A
1180,to,T
1181,the,T
1182,supreme,S
1183,judge,J
1184,of,O
1185,the,T
1186,world,W
1187,for,F
1188,the,T
1189,rectitude,R
1190,of,O
1191,our,O
1192,intentions,I
1193,do,D
1194,in,I
1195,the,T
1196,name,N
1197,and,A
1198,by,B
1199,authority,A
1200,of,O
1201,the,T
1202,good,G
1203,people,P
1204,of,O
1205,these,T
1206,colonies,C
1207,solemnly,S
1208,publish,P
1209,and,A
1210,declare,D
1211,that,T
1212,these,T
1213,united,U
1214,colonies,C
1215,are,A
1216,and,A
1217,of,O
1218,right,R
1219,ought,O
1220,to,T
1221,be,B
1222,free,F
1223,and,A
1224,independent,I
1225,states,S
1226,that,T
1227,they,T
1228,are,A
1229,absolved,A
1230,from,F
1231,all,A
1232,allegiance,A
1233,to,T
1234,the,T
1235,british,B
1236,crown,C
1237,and,A
1238,that,T
1239,all,A
1240,political,P
1241,connection,C
1242,between,B
1243,them,T
1244,and,A
1245,the,T
1246,state,S
1247,of,O
1248,great,G
1249,britain,B
1250,is,I
1251,and,A
1252,ought,O
1253,to,T
1254,be,B
1255,totally,T
1256,dissolved,D
1257,and,A
1258,that,T
1259,as,A
1260,free,F
1261,and,A
1262,independent,I
1263,states,S
1264,they,T
1265,have,H
1266,full,F
1267,power,P
1268,to,T
1269,levy,L
1270,war,W
1271,conclude,C
1272,peace,P
1273,contract,C
1274,alliances,A
1275,establish,E
1276,commerce,C
1277,and,A
1278,to,T
1279,do,D
1280,all,A
1281,other,O
1282,acts,A
1283,and,A
1284,things,T
1285,which,W
1286,independent,I
1287,states,S
1288,may,M
1289,of,O
1290,right,R
1291,do,D
1292,and,A
1293,for,F
1294,the,T
1295,support,S
1296,of,O
1297,this,T
1298,declaration,D
1299,with,W
1300,a,A
1301,firm,F
1302,reliance,R
1303,on,O
1304,the,T
1305,protection,P
1306,of,O
1307,divine,D
1308,providence,P
1309,we,W
1310,mutually,M
1311,pledge,P
1312,to,T
1313,each,E
1314,other,O
1315,our,O
1316,lives,L
1317,our,O
1318,fortunes,F
1319,and,A
1320,our,O
1321,sacred,S
1322,honor,H
