term,source,date,title,url,verified,snippet
improvised,chroniclingamerica,1833-03-16,"Image 2 of New-Hampshire statesman and state journal (Concord [N.H.]), March 16, 1833",http://www.loc.gov/resource/sn84022931/1833-03-16/ed-1/?sp=2,True,"orrectiog them; but Sir Walter\nScott lacked patience for this species of drudgery;\nthe pen, in his band, he literally improvised, and his\ncommand of language, great as it was, scarcely kept\npace with the extraordinary fertility of his imagina\nti"
improvised,chroniclingamerica,1825-06-11,"Image 1 of The ladies' garland (Harpers-Ferry, Va. [W. Va.]), June 11, 1825",http://www.loc.gov/resource/sn85059803/1825-06-11/ed-1/?sp=1,False,
improvised,chroniclingamerica,1825-06-18,"Image 1 of The ladies' garland (Harpers-Ferry, Va. [W. Va.]), June 18, 1825",http://www.loc.gov/resource/sn85059803/1825-06-18/ed-1/?sp=1,False,
improvised,chroniclingamerica,1828-04-19,"Image 3 of The ladies' garland (Harpers-Ferry, Va. [W. Va.]), April 19, 1828",http://www.loc.gov/resource/sn85059803/1828-04-19/ed-1/?sp=3,False,
improvised,chroniclingamerica,1806-12-01,"Image 4 of Alexandria daily advertiser (Alexandria [Va.]), December 1, 1806",http://www.loc.gov/resource/sn84024012/1806-12-01/ed-1/?sp=4,False,
improvised,chroniclingamerica,1825-04-19,"Image 3 of Rhode Island American (Providence [R.I.]), April 19, 1825",http://www.loc.gov/resource/sn83021383/1825-04-19/ed-1/?sp=3,False,
improvised,chroniclingamerica,1832-06-13,"Image 1 of Phenix gazette (Alexandria [D.C.]), June 13, 1832",http://www.loc.gov/resource/sn85025006/1832-06-13/ed-1/?sp=1,False,
improvised,chroniclingamerica,1832-03-14,"Image 2 of The Arkansas advocate (Little Rock, A.T. [Ark.]), March 14, 1832",http://www.loc.gov/resource/sn87062070/1832-03-14/ed-1/?sp=2,False,
improvised,chroniclingamerica,1825-06-03,"Image 1 of Rhode Island American (Providence [R.I.]), June 3, 1825",http://www.loc.gov/resource/sn83021383/1825-06-03/ed-1/?sp=1,False,
improvised,chroniclingamerica,1825-04-19,"Image 3 of The New Hampshire gazette (Portsmouth [N.H.]), April 19, 1825",http://www.loc.gov/resource/sn83025588/1825-04-19/ed-1/?sp=3,False,
improvised,chroniclingamerica,1803-07-18,"Image 4 of Jenks' Portland gazette. and Maine advertiser (Portland, Me.), July 18, 1803",http://www.loc.gov/resource/sn83021505/1803-07-18/ed-1/?sp=4,False,
improvised,chroniclingamerica,1832-01-07,"Image 2 of Phenix gazette (Alexandria [D.C.]), January 7, 1832",http://www.loc.gov/resource/sn85025006/1832-01-07/ed-1/?sp=2,False,
improvised,chroniclingamerica,1824-04-28,"Image 4 of Massachusetts spy and Worcester advertiser ([Worcester, Mass.]), April 28, 1824",http://www.loc.gov/resource/sn83021202/1824-04-28/ed-1/?sp=4,False,
improvised,chroniclingamerica,1830-02-27,"Image 1 of Providence patriot, Columbian phenix (Providence, R.I.), February 27, 1830",http://www.loc.gov/resource/sn83025643/1830-02-27/ed-1/?sp=1,False,
improvised,chroniclingamerica,1825-06-04,"Image 1 of Phenix gazette (Alexandria [D.C.]), June 4, 1825",http://www.loc.gov/resource/sn85025006/1825-06-04/ed-1/?sp=1,False,
improvised,chroniclingamerica,1828-09-23,"Image 1 of Rhode-Island American and Providence gazette (Providence [R.I.]), September 23, 1828",http://www.loc.gov/resource/sn83021385/1828-09-23/ed-1/?sp=1,False,
improvised,chroniclingamerica,1825-01-04,"Image 3 of The Virginian (Lynchburg [Va.]), January 4, 1825",http://www.loc.gov/resource/sn85027015/1825-01-04/ed-1/?sp=3,False,
improvised,chroniclingamerica,1835-04-04,"Image 2 of Daily national intelligencer (Washington City [D.C.]), April 4, 1835",http://www.loc.gov/resource/sn83026172/1835-04-04/ed-1/?sp=2,False,
improvised,chroniclingamerica,1830-09-28,"Image 3 of Richmond enquirer (Richmond, Va.), September 28, 1830",http://www.loc.gov/resource/sn84024735/1830-09-28/ed-1/?sp=3,False,
improvise,chroniclingamerica,1824-04-28,"Image 4 of Massachusetts spy and Worcester advertiser ([Worcester, Mass.]), April 28, 1824",http://www.loc.gov/resource/sn83021202/1824-04-28/ed-1/?sp=4,True," prize,\nT who eth ir wond\u2019ring eyes\nV. if carets sight ito pa pert\nBut\u2019tis a sigi.t houl i they meet,\nAll improvise in lb. str t,\nYe Geds I he w tiisy would scamper.\nMy whole\u2019s a sort of wandering throne,\nTo woman limited alon"
improvise,chroniclingamerica,1803-07-18,"Image 4 of Jenks' Portland gazette. and Maine advertiser (Portland, Me.), July 18, 1803",http://www.loc.gov/resource/sn83021505/1803-07-18/ed-1/?sp=4,True,"elTeu*\nti ll to hedtb, yet \u00bbTn dfedi irt fpeedy \""I\nperm inent, rendering them deii ately f*\u00bbft\nand clear, improvise the tomp\u2019-xion and i\nr.ttCKine the bloom of y u h. Never fa j\n,r\u00bb(C to render n't mdmary coun'.e*'ance\nbe"
improvise,chroniclingamerica,1825-01-04,"Image 3 of The Virginian (Lynchburg [Va.]), January 4, 1825",http://www.loc.gov/resource/sn85027015/1825-01-04/ed-1/?sp=3,False,
improvise,chroniclingamerica,1825-06-11,"Image 1 of The ladies' garland (Harpers-Ferry, Va. [W. Va.]), June 11, 1825",http://www.loc.gov/resource/sn85059803/1825-06-11/ed-1/?sp=1,True,"t will be charged with the sub\nscription.\nTillS SSEFOSITOEY.\nFit03: THE NEW MONTHLY MAGAZINE.\nGIULIO, A TALE.\n,7/i Improvisation of Bonaparte.\nBonaparte, during the first year after he ascend\ned the imperial throne, was in the habit of passi"
improvise,chroniclingamerica,1825-06-18,"Image 1 of The ladies' garland (Harpers-Ferry, Va. [W. Va.]), June 18, 1825",http://www.loc.gov/resource/sn85059803/1825-06-18/ed-1/?sp=1,True," will be charged with the sub\nscription.\n3>Z!ES XMESPOSZTORY._\nFllOM THE NEW MONTHLY MAGAZINE.\nGIULIO, A TALE.\njjn Improvisation of Bonaparte.\n[concluded.]\nGiulio alone, surrendered to his own reflection,\ntrembles to think of his own imprud"
improvise,chroniclingamerica,1828-04-19,"Image 3 of The ladies' garland (Harpers-Ferry, Va. [W. Va.]), April 19, 1828",http://www.loc.gov/resource/sn85059803/1828-04-19/ed-1/?sp=3,False,
improvise,chroniclingamerica,1806-12-01,"Image 4 of Alexandria daily advertiser (Alexandria [Va.]), December 1, 1806",http://www.loc.gov/resource/sn84024012/1806-12-01/ed-1/?sp=4,True,"Hahn's Anti-Bilious Pins.\nInfaiiible Ague Drops.si\n\""Genuine Persian Lotion, for removing cu\ntancous blcjnishes, and improvising the com\npicxiun.\nIndian Vereta'si\ufb02e Specific, in high repute\nib:- tf'cte cure of:: certain numclcssis disica"
improvise,chroniclingamerica,1835-11-21,"Image 4 of South Branch intelligencer (Romney, Va. [W. Va.]), November 21, 1835",http://www.loc.gov/resource/sn84026826/1835-11-21/ed-1/?sp=4,False,
improvise,chroniclingamerica,1825-04-19,"Image 3 of Rhode Island American (Providence [R.I.]), April 19, 1825",http://www.loc.gov/resource/sn83021383/1825-04-19/ed-1/?sp=3,True,"fessions of a\nCantab; The Novice in Town; Valedictory\nStanzas, by the author of the linprovi\u00abatrice;\nGiulio, an Improvisation of Bonaparte; Danish\nTraditions and Superstitions\u2014The Weird Wan\nderer of Jutland,. Swend Felling, Holger th"
improvise,chroniclingamerica,1832-06-13,"Image 1 of Phenix gazette (Alexandria [D.C.]), June 13, 1832",http://www.loc.gov/resource/sn85025006/1832-06-13/ed-1/?sp=1,False,
improvise,chroniclingamerica,1830-10-27,"Image 1 of The Arkansas advocate (Little Rock, A.T. [Ark.]), October 27, 1830",http://www.loc.gov/resource/sn87062070/1830-10-27/ed-1/?sp=1,False,
improvise,chroniclingamerica,1832-03-14,"Image 2 of The Arkansas advocate (Little Rock, A.T. [Ark.]), March 14, 1832",http://www.loc.gov/resource/sn87062070/1832-03-14/ed-1/?sp=2,False,
improvise,chroniclingamerica,1825-06-03,"Image 1 of Rhode Island American (Providence [R.I.]), June 3, 1825",http://www.loc.gov/resource/sn83021383/1825-06-03/ed-1/?sp=1,False,
improvise,chroniclingamerica,1825-04-19,"Image 3 of The New Hampshire gazette (Portsmouth [N.H.]), April 19, 1825",http://www.loc.gov/resource/sn83025588/1825-04-19/ed-1/?sp=3,True,"a Cantab~\u2014The Nowice in Towne\u2014\""\nValedictory Stanzas, by the author of the ims\nprovisatrice\u2014Giulio, an Improvisation of Reny\nparte\u2014Danish Traditions and Superstitionsg\u2014\nThe Grave of the Suicide\u2014Lines to a Ludy\u201"
improvise,chroniclingamerica,1830-12-02,"Image 1 of Litchfield enquirer (Litchfield, Conn.), December 2, 1830",http://www.loc.gov/resource/sn84020071/1830-12-02/ed-1/?sp=1,True,"heard a composition and\na recitation of two. The first was grace\nful, and in good taste; but the last were a\nkind of improvised account of given chap\nters in philosophy, done with a selectness\nof language, and a clearness of recollec\ntion qui"
improvise,chroniclingamerica,1832-01-07,"Image 2 of Phenix gazette (Alexandria [D.C.]), January 7, 1832",http://www.loc.gov/resource/sn85025006/1832-01-07/ed-1/?sp=2,True,"nde signal,\netre rendues actives, et qui viendront appuvar,\nj au liesoin, une armee de trois cents inille horn-\nmes, improvises un mois et un mois et quellques j\njours.\u201d Certainly M. Perier loves as much the\nsystem of \u201cpeace at all p"
improvise,chroniclingamerica,1833-03-19,"Image 2 of The Rhode-Island Republican (Newport, R.I.), March 19, 1833",http://www.loc.gov/resource/sn83025561/1833-03-19/ed-1/?sp=2,False,
improvise,chroniclingamerica,1830-02-27,"Image 1 of Providence patriot, Columbian phenix (Providence, R.I.), February 27, 1830",http://www.loc.gov/resource/sn83025643/1830-02-27/ed-1/?sp=1,True,"nt of his topies, he is guided\nwholly by impulse. His illustrations\nparticularly have all the startling fieshuess\nol improvisation. The dijuty of his\ntheme seems to lift him into the regions\nof Poetry unaware, and he gathers the rich\nmaterial"
improvise,chroniclingamerica,1835-10-14,"Image 4 of The Rhode-Island Republican (Newport, R.I.), October 14, 1835",http://www.loc.gov/resource/sn83025561/1835-10-14/ed-1/?sp=4,True," but I forewarn you that he is as deaf as an\nadder.\u201d\n\u201cNo matter, 1 will halloo.\u201d\n~And the boy who had improvised this piece of\npleasantry\u2014which the good reader will according to\nhis taste, think either good or bad\u2014went"
improvise,chroniclingamerica,1825-06-04,"Image 1 of Phenix gazette (Alexandria [D.C.]), June 4, 1825",http://www.loc.gov/resource/sn85025006/1825-06-04/ed-1/?sp=1,True,"given,\nWho shall use it as earth, with their God to\ndwell. _ _\n[From the New Monthly Magazine.]\nGIULIO, A TALE.\nAS IMPROVISATION OF BONAPARTI.\nHowtpur>, during the first year after he as\ncended the imperial throne, was in the habit\nof passi"
improvise,chroniclingamerica,1828-09-23,"Image 1 of Rhode-Island American and Providence gazette (Providence [R.I.]), September 23, 1828",http://www.loc.gov/resource/sn83021385/1828-09-23/ed-1/?sp=1,True,"t\nthe close of the second act, the illusion was com\nplete. It was not merely nn artist, repeating\nupon the stage the improvisations of the boudoir.\nIt was Desdemona herself, tender, passionate,\nburning with love \u2014such, in fine, as she was"
improvise,chroniclingamerica,1825-02-25,"Image 4 of Constitutional Whig (Richmond, Va.), February 25, 1825",http://www.loc.gov/resource/sn83045110/1825-02-25/ed-1/?sp=4,False,
improvise,chroniclingamerica,1835-04-04,"Image 2 of Daily national intelligencer (Washington City [D.C.]), April 4, 1835",http://www.loc.gov/resource/sn83026172/1835-04-04/ed-1/?sp=2,True,"ir waggery about him and the young Indian beauties,\nthat produced great merriment among our half-breeds.\nThis mode of improvising is common throughout the\nsavage tribes and in this way, with a few simple inflec\ntions of the voice, they chant al"
improvise,chroniclingamerica,1833-03-16,"Image 2 of New-Hampshire statesman and state journal (Concord [N.H.]), March 16, 1833",http://www.loc.gov/resource/sn84022931/1833-03-16/ed-1/?sp=2,True,"orrectiog them; but Sir Walter\nScott lacked patience for this species of drudgery;\nthe pen, in his band, he literally improvised, and his\ncommand of language, great as it was, scarcely kept\npace with the extraordinary fertility of his imagina\n"
improvise,chroniclingamerica,1830-09-28,"Image 3 of Richmond enquirer (Richmond, Va.), September 28, 1830",http://www.loc.gov/resource/sn84024735/1830-09-28/ed-1/?sp=3,True,"tary eloquence, notwithstanding\nthe i lea so generally entertained, among themselves,\nthat they still want tho art of improvisation, as they\ncall i\\\nEvery American heart will doubtless rcjoico at that\nglorious destiny which, utter a lapse of "
grizzlies,chroniclingamerica,1829-08-15,"Image 5 of The Delaware register, or, Farmers', manufacturers' & mechanics' advocate (Wilmington, Del.), August 15, 1829",http://www.loc.gov/resource/sn84020593/1829-08-15/ed-1/?sp=5,False,
grizzlies,chroniclingamerica,1819-09-14,"Image 4 of The New Hampshire gazette (Portsmouth [N.H.]), September 14, 1819",http://www.loc.gov/resource/sn83025588/1819-09-14/ed-1/?sp=4,False,
grizzlies,chroniclingamerica,1828-08-20,"Image 2 of Daily national intelligencer (Washington City [D.C.]), August 20, 1828",http://www.loc.gov/resource/sn83026172/1828-08-20/ed-1/?sp=2,False,
grizzlies,chroniclingamerica,1829-08-07,"Image 2 of Daily national intelligencer (Washington City [D.C.]), August 7, 1829",http://www.loc.gov/resource/sn83026172/1829-08-07/ed-1/?sp=2,False,
grizzlies,chroniclingamerica,1827-06-05,"Image 3 of Delaware journal (Wilmington [Del.]), June 5, 1827",http://www.loc.gov/resource/sn83025530/1827-06-05/ed-1/?sp=3,False,
grizzlies,chroniclingamerica,1818-10-05,"Image 4 of The New Hampshire gazette (Portsmouth [N.H.]), October 5, 1818",http://www.loc.gov/resource/sn83025588/1818-10-05/ed-1/?sp=4,False,
grizzlies,chroniclingamerica,1827-09-22,"Image 3 of Constitutional Whig (Richmond, Va.), September 22, 1827",http://www.loc.gov/resource/sn83045110/1827-09-22/ed-1/?sp=3,False,
grizzlies,chroniclingamerica,1832-05-02,"Image 1 of The Arkansas gazette (Arkansas Post, Ark. Ter.), May 2, 1832",http://www.loc.gov/resource/sn82016482/1832-05-02/ed-1/?sp=1,False,
grizzlies,chroniclingamerica,1828-09-03,"Image 4 of Virginia statesman (Wheeling, Va. [W. Va.]), September 3, 1828",http://www.loc.gov/resource/sn84038586/1828-09-03/ed-1/?sp=4,False,
grizzlies,chroniclingamerica,1827-12-01,"Image 3 of The ladies' garland (Harpers-Ferry, Va. [W. Va.]), December 1, 1827",http://www.loc.gov/resource/sn85059803/1827-12-01/ed-1/?sp=3,False,
grizzlies,chroniclingamerica,1828-08-27,"Image 1 of The Massachusetts spy, and Worcester County advertiser ([Worcester, Mass.]), August 27, 1828",http://www.loc.gov/resource/sn83021206/1828-08-27/ed-1/?sp=1,False,
grizzlies,chroniclingamerica,1817-10-30,"Image 2 of Daily national intelligencer (Washington City [D.C.]), October 30, 1817",http://www.loc.gov/resource/sn83026172/1817-10-30/ed-1/?sp=2,False,
grizzlies,chroniclingamerica,1812-06-22,"Image 3 of Portland gazette, and Maine advertiser (Portland, Me.), June 22, 1812",http://www.loc.gov/resource/sn83016082/1812-06-22/ed-1/?sp=3,False,
grizzlies,chroniclingamerica,1820-08-02,"Image 3 of Daily national intelligencer (Washington City [D.C.]), August 2, 1820",http://www.loc.gov/resource/sn83026172/1820-08-02/ed-1/?sp=3,False,
grizzlies,chroniclingamerica,1835-11-27,"Image 1 of The daily herald (New-Haven [Conn.]), November 27, 1835",http://www.loc.gov/resource/sn82015818/1835-11-27/ed-1/?sp=1,False,
grizzlies,chroniclingamerica,1808-08-30,"Image 2 of Alexandria daily gazette, commercial & political (Alexandria [Va.]), August 30, 1808",http://www.loc.gov/resource/sn84024013/1808-08-30/ed-1/?sp=2,False,
grizzlies,chroniclingamerica,1827-07-18,"Image 3 of Daily national intelligencer (Washington City [D.C.]), July 18, 1827",http://www.loc.gov/resource/sn83026172/1827-07-18/ed-1/?sp=3,False,
grizzlies,chroniclingamerica,1818-09-22,"Image 2 of The New Hampshire gazette (Portsmouth [N.H.]), September 22, 1818",http://www.loc.gov/resource/sn83025588/1818-09-22/ed-1/?sp=2,False,
grizzlies,chroniclingamerica,1827-01-13,"Image 1 of Northern star, and Warren and Bristol gazette (Warren [R.I.]), January 13, 1827",http://www.loc.gov/resource/sn83021518/1827-01-13/ed-1/?sp=1,False,
grizzlies,chroniclingamerica,1827-07-24,"Image 1 of Delaware journal (Wilmington [Del.]), July 24, 1827",http://www.loc.gov/resource/sn83025530/1827-07-24/ed-1/?sp=1,False,
grizzlies,chroniclingamerica,1835-11-03,"Image 2 of The daily herald (New-Haven [Conn.]), November 3, 1835",http://www.loc.gov/resource/sn82015818/1835-11-03/ed-1/?sp=2,False,
grizzlies,chroniclingamerica,1823-08-01,"Image 1 of American watchman and Delaware advertiser (Wilmington, Del.), August 1, 1823",http://www.loc.gov/resource/sn82014894/1823-08-01/ed-1/?sp=1,False,
grizzlies,chroniclingamerica,1820-02-08,"Image 1 of Elizabeth-Town gazette (Elizabeth-Town, N.J.), February 8, 1820",http://www.loc.gov/resource/sn85025061/1820-02-08/ed-1/?sp=1,False,
grizzlies,chroniclingamerica,1831-01-08,"Image 2 of Richmond palladium (Richmond, Wayne County, Ind.), January 8, 1831",http://www.loc.gov/resource/sn82016416/1831-01-08/ed-1/?sp=2,False,
grizzlies,chroniclingamerica,1808-09-23,"Image 3 of The national intelligencer and Washington advertiser (Washington City [D.C.]), September 23, 1808",http://www.loc.gov/resource/sn83045242/1808-09-23/ed-1/?sp=3,False,
grizzlies,chroniclingamerica,1811-08-09,"Image 3 of The Rhode-Island American, and general advertiser (Providence [R.I.]), August 9, 1811",http://www.loc.gov/resource/sn83025442/1811-08-09/ed-1/?sp=3,False,
grizzlies,chroniclingamerica,1829-09-10,"Image 2 of Daily national intelligencer (Washington City [D.C.]), September 10, 1829",http://www.loc.gov/resource/sn83026172/1829-09-10/ed-1/?sp=2,False,
grizzlies,chroniclingamerica,1822-06-14,"Image 3 of American watchman and Delaware advertiser (Wilmington, Del.), June 14, 1822",http://www.loc.gov/resource/sn82014894/1822-06-14/ed-1/?sp=3,False,
grizzlies,chroniclingamerica,1826-11-10,"Image 1 of The National Republican and Ohio political register (Cincinnati [Ohio]), November 10, 1826",http://www.loc.gov/resource/sn84031604/1826-11-10/ed-1/?sp=1,False,
grizzlies,chroniclingamerica,1811-08-16,"Image 3 of The Rhode-Island American, and general advertiser (Providence [R.I.]), August 16, 1811",http://www.loc.gov/resource/sn83025442/1811-08-16/ed-1/?sp=3,False,
grizzlies,chroniclingamerica,1833-07-31,"Image 2 of Vandalia Whig and Illinois intelligencer (Vandalia, Ill.), July 31, 1833",http://www.loc.gov/resource/sn82015332/1833-07-31/ed-1/?sp=2,False,
grizzlies,chroniclingamerica,1831-02-15,"Image 3 of Daily national intelligencer (Washington City [D.C.]), February 15, 1831",http://www.loc.gov/resource/sn83026172/1831-02-15/ed-1/?sp=3,False,
grizzlies,chroniclingamerica,1833-08-21,"Image 1 of The Arkansas advocate (Little Rock, A.T. [Ark.]), August 21, 1833",http://www.loc.gov/resource/sn87062070/1833-08-21/ed-1/?sp=1,False,
grizzlies,chroniclingamerica,1835-11-06,"Image 4 of The Arkansas advocate (Little Rock, A.T. [Ark.]), November 6, 1835",http://www.loc.gov/resource/sn87062070/1835-11-06/ed-1/?sp=4,False,
grizzlies,chroniclingamerica,1834-10-03,"Image 1 of The Arkansas advocate (Little Rock, A.T. [Ark.]), October 3, 1834",http://www.loc.gov/resource/sn87062070/1834-10-03/ed-1/?sp=1,False,
grizzlies,chroniclingamerica,1829-02-13,"Image 3 of Daily national intelligencer (Washington City [D.C.]), February 13, 1829",http://www.loc.gov/resource/sn83026172/1829-02-13/ed-1/?sp=3,False,
grizzlies,chroniclingamerica,1828-04-17,"Image 4 of Martinsburg gazette and public advertiser (Martinsburg, Va. [W. Va.]), April 17, 1828",http://www.loc.gov/resource/sn85059526/1828-04-17/ed-1/?sp=4,False,
grizzlies,chroniclingamerica,1823-08-05,"Image 1 of The National Republican and Ohio political register (Cincinnati [Ohio]), August 5, 1823",http://www.loc.gov/resource/sn84031604/1823-08-05/ed-1/?sp=1,False,
grizzlies,chroniclingamerica,1834-09-18,"Image 2 of Daily national intelligencer (Washington City [D.C.]), September 18, 1834",http://www.loc.gov/resource/sn83026172/1834-09-18/ed-1/?sp=2,False,
grizzlies,chroniclingamerica,1831-09-22,"Image 2 of Daily national intelligencer (Washington City [D.C.]), September 22, 1831",http://www.loc.gov/resource/sn83026172/1831-09-22/ed-1/?sp=2,False,
grizzly bears,chroniclingamerica,1828-08-20,"Image 2 of Daily national intelligencer (Washington City [D.C.]), August 20, 1828",http://www.loc.gov/resource/sn83026172/1828-08-20/ed-1/?sp=2,False,
grizzly bears,chroniclingamerica,1832-05-02,"Image 1 of The Arkansas gazette (Arkansas Post, Ark. Ter.), May 2, 1832",http://www.loc.gov/resource/sn82016482/1832-05-02/ed-1/?sp=1,False,
grizzly bears,chroniclingamerica,1828-09-03,"Image 4 of Virginia statesman (Wheeling, Va. [W. Va.]), September 3, 1828",http://www.loc.gov/resource/sn84038586/1828-09-03/ed-1/?sp=4,False,
grizzly bears,chroniclingamerica,1828-08-27,"Image 1 of The Massachusetts spy, and Worcester County advertiser ([Worcester, Mass.]), August 27, 1828",http://www.loc.gov/resource/sn83021206/1828-08-27/ed-1/?sp=1,False,
grizzly bears,chroniclingamerica,1827-07-18,"Image 3 of Daily national intelligencer (Washington City [D.C.]), July 18, 1827",http://www.loc.gov/resource/sn83026172/1827-07-18/ed-1/?sp=3,False,
grizzly bears,chroniclingamerica,1827-07-24,"Image 1 of Delaware journal (Wilmington [Del.]), July 24, 1827",http://www.loc.gov/resource/sn83025530/1827-07-24/ed-1/?sp=1,False,
grizzly bears,chroniclingamerica,1831-01-08,"Image 2 of Richmond palladium (Richmond, Wayne County, Ind.), January 8, 1831",http://www.loc.gov/resource/sn82016416/1831-01-08/ed-1/?sp=2,False,
grizzly bears,chroniclingamerica,1831-02-15,"Image 3 of Daily national intelligencer (Washington City [D.C.]), February 15, 1831",http://www.loc.gov/resource/sn83026172/1831-02-15/ed-1/?sp=3,False,
grizzly bears,chroniclingamerica,1831-09-22,"Image 2 of Daily national intelligencer (Washington City [D.C.]), September 22, 1831",http://www.loc.gov/resource/sn83026172/1831-09-22/ed-1/?sp=2,False,
grizzly bears,chroniclingamerica,1835-06-30,"Image 2 of Daily national intelligencer (Washington City [D.C.]), June 30, 1835",http://www.loc.gov/resource/sn83026172/1835-06-30/ed-1/?sp=2,False,
grizzly bears,chroniclingamerica,1834-08-15,"Image 3 of The Arkansas advocate (Little Rock, A.T. [Ark.]), August 15, 1834",http://www.loc.gov/resource/sn87062070/1834-08-15/ed-1/?sp=3,False,
grizzly bears,chroniclingamerica,1834-06-26,"Image 2 of Alexandria gazette (Alexandria, D.C.), June 26, 1834",http://www.loc.gov/resource/sn85025007/1834-06-26/ed-1/?sp=2,False,
grizzly bears,chroniclingamerica,1827-06-19,"Image 1 of Rhode-Island American and Providence gazette (Providence [R.I.]), June 19, 1827",http://www.loc.gov/resource/sn83021385/1827-06-19/ed-1/?sp=1,False,
