path,case,what,basis,source
cases/beale-ciphers/sources/papers/poundstone_fragments/biggest_secrets_1993_poe_beale.json,beale-ciphers,"excerpts of a work still in copyright (King 1993, Cryptologia","excerpts of a work still in copyright (King 1993, Cryptologia; Poundstone, Big Secrets 1983 and Biggest Secrets 1993)","no URL recorded; the file name gives the source: ""biggest secrets 1993 poe beale"""
cases/beale-ciphers/sources/records/books/genealogyofbeale00hodg.txt,beale-ciphers,"Internet Archive item genealogyofbeale00hodg (""The genealogy of the Beale family (1399-1956) .."", 1956)","Internet Archive item genealogyofbeale00hodg (""The genealogy of the Beale family (1399-1956) .."", 1956); published 1956, still in copyright","Internet Archive item ""The genealogy of the Beale family (1399-1956) .."" (1956): https://archive.org/details/genealogyofbeale00hodg"
cases/beale-ciphers/sources/records/papers/schmeh_mtc3.pdf,beale-ciphers,"paper still in copyright (Schmeh, MTC3","paper still in copyright (Schmeh, MTC3; Wase 2020)",https://mysterytwister.org/media/challenges/pdf/mtc3-schmeh-04-beale-en.pdf
cases/beale-ciphers/sources/records/papers/schmeh_mtc3.txt,beale-ciphers,"paper still in copyright (Schmeh, MTC3","paper still in copyright (Schmeh, MTC3; Wase 2020)",https://mysterytwister.org/media/challenges/pdf/mtc3-schmeh-04-beale-en.pdf
cases/beale-ciphers/sources/records/papers/wase2020.pdf,beale-ciphers,"paper still in copyright (Schmeh, MTC3","paper still in copyright (Schmeh, MTC3; Wase 2020)",https://ep.liu.se/ecp/171/019/ecp2020_171_019.pdf
cases/beale-ciphers/sources/records/papers/wase2020.txt,beale-ciphers,"paper still in copyright (Schmeh, MTC3","paper still in copyright (Schmeh, MTC3; Wase 2020)",https://ep.liu.se/ecp/171/019/ecp2020_171_019.pdf
cases/beale-ciphers/sources/unmuseum_bealepap_wayback_plain.txt,beale-ciphers,article or web page still in copyright (Gillogly 1980 in Cryptologia,article or web page still in copyright (Gillogly 1980 in Cryptologia; George Love; unmuseum.org),https://web.archive.org/web/2019/http://www.unmuseum.org/bealepap.htm
cases/bixby-letter/dossier/grieve2016_lss_bixby_slides.pdf,bixby-letter,"conference slides still in copyright (Grieve 2016, 2017)","conference slides still in copyright (Grieve 2016, 2017)","no URL recorded; the file name gives the source: ""grieve2016 lss bixby slides"""
cases/bixby-letter/dossier/grieve2017_cl_bixby_slides.pdf,bixby-letter,"conference slides still in copyright (Grieve 2016, 2017)","conference slides still in copyright (Grieve 2016, 2017)","no URL recorded; the file name gives the source: ""grieve2017 cl bixby slides"""
cases/brunanburh/texts/bft598.txt,brunanburh,"article, book chapter, report or web page still in copyright","article, book chapter, report or web page still in copyright","no URL recorded; the file name gives the source: ""bft598"""
cases/brunanburh/texts/cavill_2014.txt,brunanburh,"article, book chapter, report or web page still in copyright","article, book chapter, report or web page still in copyright","no URL recorded; the file name gives the source: ""cavill 2014"""
cases/brunanburh/texts/cavill_casebook.txt,brunanburh,"article, book chapter, report or web page still in copyright","article, book chapter, report or web page still in copyright",https://www.nottingham.ac.uk/-sczsteve/09essay-cavill.pdf
cases/brunanburh/texts/chronicle_kings_alba.txt,brunanburh,"article, book chapter, report or web page still in copyright","article, book chapter, report or web page still in copyright","no URL recorded; the file name gives the source: ""chronicle kings alba"""
cases/brunanburh/texts/dingesmere2004.txt,brunanburh,"article, book chapter, report or web page still in copyright","article, book chapter, report or web page still in copyright",https://www.nottingham.ac.uk/-sczsteve/JEPNS_paper.PDF
cases/brunanburh/texts/ecc31_full.txt,brunanburh,"article, book chapter, report or web page still in copyright","article, book chapter, report or web page still in copyright",https://www.wirral.gov.uk/files/ecc31-search-battle-brunanburh-june-2021.pdf
cases/brunanburh/texts/grant_brough_v4.txt,brunanburh,"article, book chapter, report or web page still in copyright","article, book chapter, report or web page still in copyright","no URL recorded; the file name gives the source: ""grant brough v4"""
cases/brunanburh/texts/j_escaping.txt,brunanburh,"article, book chapter, report or web page still in copyright","article, book chapter, report or web page still in copyright",https://doi.org/10.1080/0013838X.2022.2067708
cases/brunanburh/texts/j_halloran2005.txt,brunanburh,"article, book chapter, report or web page still in copyright","article, book chapter, report or web page still in copyright",https://www.euppublishing.com/doi/abs/10.3366/shr.2005.84.2.133
cases/brunanburh/texts/j_halloran2010.txt,brunanburh,"article, book chapter, report or web page still in copyright","article, book chapter, report or web page still in copyright","no URL recorded; the file name gives the source: ""j halloran2010"""
cases/brunanburh/texts/j_lanchester.txt,brunanburh,"article, book chapter, report or web page still in copyright","article, book chapter, report or web page still in copyright",https://doi.org/10.1007/s11061-022-09758-1
cases/brunanburh/texts/j_natgeo.txt,brunanburh,"article, book chapter, report or web page still in copyright","article, book chapter, report or web page still in copyright","no URL recorded; the file name gives the source: ""j natgeo"""
cases/brunanburh/texts/j_thepast.txt,brunanburh,"article, book chapter, report or web page still in copyright","article, book chapter, report or web page still in copyright","no URL recorded; the file name gives the source: ""j thepast"""
cases/brunanburh/texts/j_wood2013.txt,brunanburh,"article, book chapter, report or web page still in copyright","article, book chapter, report or web page still in copyright",https://www.tandfonline.com/doi/abs/10.1179/0084427613Z.00000000021
cases/brunanburh/texts/majorosi.txt,brunanburh,"article, book chapter, report or web page still in copyright","article, book chapter, report or web page still in copyright","no URL recorded; the file name gives the source: ""majorosi"""
cases/brunanburh/texts/momentous.txt,brunanburh,"article, book chapter, report or web page still in copyright","article, book chapter, report or web page still in copyright",https://www.battlefieldstrust.com/resource-centre/battlepageview.asp?pageid=891
cases/brunanburh/texts/pickles_review.txt,brunanburh,"article, book chapter, report or web page still in copyright","article, book chapter, report or web page still in copyright",https://chesterrep.openrepository.com/handle/10034/627517
cases/brunanburh/texts/raw_sources/G100001A_507.html,brunanburh,"CELT (University College Cork) edition of an Irish annal, text and translation of 1983","CELT (University College Cork) edition of an Irish annal, text and translation of 1983; CELT permits use but not redistribution","CELT, University College Cork: https://celt.ucc.ie/published/G100001A/"
cases/brunanburh/texts/raw_sources/G100001A_508.html,brunanburh,"CELT (University College Cork) edition of an Irish annal, text and translation of 1983","CELT (University College Cork) edition of an Irish annal, text and translation of 1983; CELT permits use but not redistribution","CELT, University College Cork: https://celt.ucc.ie/published/G100001A/"
cases/brunanburh/texts/raw_sources/G100001A_index.html,brunanburh,"CELT (University College Cork) edition of an Irish annal, text and translation of 1983","CELT (University College Cork) edition of an Irish annal, text and translation of 1983; CELT permits use but not redistribution","CELT, University College Cork: https://celt.ucc.ie/published/G100001A/"
cases/brunanburh/texts/raw_sources/G100004_049.html,brunanburh,"CELT (University College Cork) edition of an Irish annal, text and translation of 1983","CELT (University College Cork) edition of an Irish annal, text and translation of 1983; CELT permits use but not redistribution","CELT, University College Cork: https://celt.ucc.ie/published/G100004/"
cases/brunanburh/texts/raw_sources/G100004_index.html,brunanburh,"CELT (University College Cork) edition of an Irish annal, text and translation of 1983","CELT (University College Cork) edition of an Irish annal, text and translation of 1983; CELT permits use but not redistribution","CELT, University College Cork: https://celt.ucc.ie/published/G100004/"
cases/brunanburh/texts/raw_sources/G100005B_004.html,brunanburh,"CELT (University College Cork) edition of an Irish annal, text and translation of 1983","CELT (University College Cork) edition of an Irish annal, text and translation of 1983; CELT permits use but not redistribution","CELT, University College Cork: https://celt.ucc.ie/published/G100005B/"
cases/brunanburh/texts/raw_sources/G100005B_index.html,brunanburh,"CELT (University College Cork) edition of an Irish annal, text and translation of 1983","CELT (University College Cork) edition of an Irish annal, text and translation of 1983; CELT permits use but not redistribution","CELT, University College Cork: https://celt.ucc.ie/published/G100005B/"
cases/brunanburh/texts/raw_sources/G100016_101.html,brunanburh,"CELT (University College Cork) edition of an Irish annal, text and translation of 1983","CELT (University College Cork) edition of an Irish annal, text and translation of 1983; CELT permits use but not redistribution","CELT, University College Cork: https://celt.ucc.ie/published/G100016/"
cases/brunanburh/texts/raw_sources/G100016_102.html,brunanburh,"CELT (University College Cork) edition of an Irish annal, text and translation of 1983","CELT (University College Cork) edition of an Irish annal, text and translation of 1983; CELT permits use but not redistribution","CELT, University College Cork: https://celt.ucc.ie/published/G100016/"
cases/brunanburh/texts/raw_sources/G100016_index.html,brunanburh,"CELT (University College Cork) edition of an Irish annal, text and translation of 1983","CELT (University College Cork) edition of an Irish annal, text and translation of 1983; CELT permits use but not redistribution","CELT, University College Cork: https://celt.ucc.ie/published/G100016/"
cases/brunanburh/texts/raw_sources/T100001A_507.html,brunanburh,"CELT (University College Cork) edition of an Irish annal, text and translation of 1983","CELT (University College Cork) edition of an Irish annal, text and translation of 1983; CELT permits use but not redistribution","CELT, University College Cork: https://celt.ucc.ie/published/T100001A/"
cases/brunanburh/texts/raw_sources/T100001A_508.html,brunanburh,"CELT (University College Cork) edition of an Irish annal, text and translation of 1983","CELT (University College Cork) edition of an Irish annal, text and translation of 1983; CELT permits use but not redistribution","CELT, University College Cork: https://celt.ucc.ie/published/T100001A/"
cases/brunanburh/texts/raw_sources/T100001A_index.html,brunanburh,"CELT (University College Cork) edition of an Irish annal, text and translation of 1983","CELT (University College Cork) edition of an Irish annal, text and translation of 1983; CELT permits use but not redistribution","CELT, University College Cork: https://celt.ucc.ie/published/T100001A/"
cases/brunanburh/texts/raw_sources/T100004_049.html,brunanburh,"CELT (University College Cork) edition of an Irish annal, text and translation of 1983","CELT (University College Cork) edition of an Irish annal, text and translation of 1983; CELT permits use but not redistribution","CELT, University College Cork: https://celt.ucc.ie/published/T100004/"
cases/brunanburh/texts/raw_sources/T100004_index.html,brunanburh,"CELT (University College Cork) edition of an Irish annal, text and translation of 1983","CELT (University College Cork) edition of an Irish annal, text and translation of 1983; CELT permits use but not redistribution","CELT, University College Cork: https://celt.ucc.ie/published/T100004/"
cases/brunanburh/texts/raw_sources/T100005B_004.html,brunanburh,"CELT (University College Cork) edition of an Irish annal, text and translation of 1983","CELT (University College Cork) edition of an Irish annal, text and translation of 1983; CELT permits use but not redistribution","CELT, University College Cork: https://celt.ucc.ie/published/T100005B/"
cases/brunanburh/texts/raw_sources/T100005B_index.html,brunanburh,"CELT (University College Cork) edition of an Irish annal, text and translation of 1983","CELT (University College Cork) edition of an Irish annal, text and translation of 1983; CELT permits use but not redistribution","CELT, University College Cork: https://celt.ucc.ie/published/T100005B/"
cases/brunanburh/texts/raw_sources/T100016_102.html,brunanburh,"CELT (University College Cork) edition of an Irish annal, text and translation of 1983","CELT (University College Cork) edition of an Irish annal, text and translation of 1983; CELT permits use but not redistribution","CELT, University College Cork: https://celt.ucc.ie/published/T100016/"
cases/brunanburh/texts/raw_sources/T100016_index.html,brunanburh,"CELT (University College Cork) edition of an Irish annal, text and translation of 1983","CELT (University College Cork) edition of an Irish annal, text and translation of 1983; CELT permits use but not redistribution","CELT, University College Cork: https://celt.ucc.ie/published/T100016/"
cases/brunanburh/texts/raw_sources/T100017_index.html,brunanburh,"CELT (University College Cork) edition of an Irish annal, text and translation of 1983","CELT (University College Cork) edition of an Irish annal, text and translation of 1983; CELT permits use but not redistribution","CELT, University College Cork: https://celt.ucc.ie/published/T100017/"
cases/brunanburh/texts/raw_sources/ac-abc-to-954-first-edition.txt,brunanburh,"Gough-Cooper, Annales Cambriae A, B and C in Parallel (Welsh Chronicles Research Group, 2016), still in copyright","Gough-Cooper, Annales Cambriae A, B and C in Parallel (Welsh Chronicles Research Group, 2016), still in copyright",Welsh Chronicles Research Group: http://croniclau.bangor.ac.uk/
cases/brunanburh/texts/raw_sources/ac-b-first-edition.txt,brunanburh,"Gough-Cooper, Annales Cambriae A, B and C in Parallel (Welsh Chronicles Research Group, 2016), still in copyright","Gough-Cooper, Annales Cambriae A, B and C in Parallel (Welsh Chronicles Research Group, 2016), still in copyright",Welsh Chronicles Research Group: http://croniclau.bangor.ac.uk/
cases/brunanburh/texts/raw_sources/annalescambriae1860.txt,brunanburh,web page still in copyright,web page still in copyright,"no URL recorded; the file name gives the source: ""annalescambriae1860"""
cases/brunanburh/texts/raw_sources/asc_a.html,brunanburh,web page still in copyright,web page still in copyright,"no URL recorded; the file name gives the source: ""asc a"""
cases/brunanburh/texts/raw_sources/asc_b.html,brunanburh,web page still in copyright,web page still in copyright,"no URL recorded; the file name gives the source: ""asc b"""
cases/brunanburh/texts/raw_sources/asc_c.html,brunanburh,web page still in copyright,web page still in copyright,"no URL recorded; the file name gives the source: ""asc c"""
cases/brunanburh/texts/raw_sources/asc_d.html,brunanburh,web page still in copyright,web page still in copyright,"no URL recorded; the file name gives the source: ""asc d"""
cases/brunanburh/texts/raw_sources/asc_e.html,brunanburh,web page still in copyright,web page still in copyright,"no URL recorded; the file name gives the source: ""asc e"""
cases/brunanburh/texts/raw_sources/asc_f.html,brunanburh,web page still in copyright,web page still in copyright,"no URL recorded; the file name gives the source: ""asc f"""
cases/brunanburh/texts/raw_sources/cavill.txt,brunanburh,web page still in copyright,web page still in copyright,https://www.nottingham.ac.uk/-sczsteve/Cavill_2014.pdf
cases/brunanburh/texts/raw_sources/egils_heimskringla.html,brunanburh,web page still in copyright,web page still in copyright,"no URL recorded; the file name gives the source: ""egils heimskringla"""
cases/brunanburh/texts/raw_sources/esawyer_407.html,brunanburh,"Electronic Sawyer charter-database page (King's College London), still in copyright","Electronic Sawyer charter-database page (King's College London), still in copyright",The Electronic Sawyer: https://esawyer.lib.cam.ac.uk/charter/407.html
cases/brunanburh/texts/raw_sources/esawyer_425.html,brunanburh,"Electronic Sawyer charter-database page (King's College London), still in copyright","Electronic Sawyer charter-database page (King's College London), still in copyright",The Electronic Sawyer: https://esawyer.lib.cam.ac.uk/charter/425.html
cases/brunanburh/texts/raw_sources/esawyer_426.html,brunanburh,"Electronic Sawyer charter-database page (King's College London), still in copyright","Electronic Sawyer charter-database page (King's College London), still in copyright",The Electronic Sawyer: https://esawyer.lib.cam.ac.uk/charter/426.html
cases/brunanburh/texts/raw_sources/esawyer_427.html,brunanburh,"Electronic Sawyer charter-database page (King's College London), still in copyright","Electronic Sawyer charter-database page (King's College London), still in copyright",The Electronic Sawyer: https://esawyer.lib.cam.ac.uk/charter/427.html
cases/brunanburh/texts/raw_sources/esawyer_428.html,brunanburh,"Electronic Sawyer charter-database page (King's College London), still in copyright","Electronic Sawyer charter-database page (King's College London), still in copyright",The Electronic Sawyer: https://esawyer.lib.cam.ac.uk/charter/428.html
cases/brunanburh/texts/raw_sources/esawyer_429.html,brunanburh,"Electronic Sawyer charter-database page (King's College London), still in copyright","Electronic Sawyer charter-database page (King's College London), still in copyright",The Electronic Sawyer: https://esawyer.lib.cam.ac.uk/charter/429.html
cases/brunanburh/texts/raw_sources/esawyer_430.html,brunanburh,"Electronic Sawyer charter-database page (King's College London), still in copyright","Electronic Sawyer charter-database page (King's College London), still in copyright",The Electronic Sawyer: https://esawyer.lib.cam.ac.uk/charter/430.html
cases/brunanburh/texts/raw_sources/esawyer_431.html,brunanburh,"Electronic Sawyer charter-database page (King's College London), still in copyright","Electronic Sawyer charter-database page (King's College London), still in copyright",The Electronic Sawyer: https://esawyer.lib.cam.ac.uk/charter/431.html
cases/brunanburh/texts/raw_sources/esawyer_432.html,brunanburh,"Electronic Sawyer charter-database page (King's College London), still in copyright","Electronic Sawyer charter-database page (King's College London), still in copyright",The Electronic Sawyer: https://esawyer.lib.cam.ac.uk/charter/432.html
cases/brunanburh/texts/raw_sources/esawyer_433.html,brunanburh,"Electronic Sawyer charter-database page (King's College London), still in copyright","Electronic Sawyer charter-database page (King's College London), still in copyright",The Electronic Sawyer: https://esawyer.lib.cam.ac.uk/charter/433.html
cases/brunanburh/texts/raw_sources/esawyer_434.html,brunanburh,"Electronic Sawyer charter-database page (King's College London), still in copyright","Electronic Sawyer charter-database page (King's College London), still in copyright",The Electronic Sawyer: https://esawyer.lib.cam.ac.uk/charter/434.html
cases/brunanburh/texts/raw_sources/esawyer_435.html,brunanburh,"Electronic Sawyer charter-database page (King's College London), still in copyright","Electronic Sawyer charter-database page (King's College London), still in copyright",The Electronic Sawyer: https://esawyer.lib.cam.ac.uk/charter/435.html
cases/brunanburh/texts/raw_sources/esawyer_436.html,brunanburh,"Electronic Sawyer charter-database page (King's College London), still in copyright","Electronic Sawyer charter-database page (King's College London), still in copyright",The Electronic Sawyer: https://esawyer.lib.cam.ac.uk/charter/436.html
cases/brunanburh/texts/raw_sources/esawyer_437.html,brunanburh,"Electronic Sawyer charter-database page (King's College London), still in copyright","Electronic Sawyer charter-database page (King's College London), still in copyright",The Electronic Sawyer: https://esawyer.lib.cam.ac.uk/charter/437.html
cases/brunanburh/texts/raw_sources/esawyer_438.html,brunanburh,"Electronic Sawyer charter-database page (King's College London), still in copyright","Electronic Sawyer charter-database page (King's College London), still in copyright",The Electronic Sawyer: https://esawyer.lib.cam.ac.uk/charter/438.html
cases/brunanburh/texts/raw_sources/esawyer_439.html,brunanburh,"Electronic Sawyer charter-database page (King's College London), still in copyright","Electronic Sawyer charter-database page (King's College London), still in copyright",The Electronic Sawyer: https://esawyer.lib.cam.ac.uk/charter/439.html
cases/brunanburh/texts/raw_sources/esawyer_440.html,brunanburh,"Electronic Sawyer charter-database page (King's College London), still in copyright","Electronic Sawyer charter-database page (King's College London), still in copyright",The Electronic Sawyer: https://esawyer.lib.cam.ac.uk/charter/440.html
cases/brunanburh/texts/raw_sources/esawyer_441.html,brunanburh,"Electronic Sawyer charter-database page (King's College London), still in copyright","Electronic Sawyer charter-database page (King's College London), still in copyright",The Electronic Sawyer: https://esawyer.lib.cam.ac.uk/charter/441.html
cases/brunanburh/texts/raw_sources/esawyer_442.html,brunanburh,"Electronic Sawyer charter-database page (King's College London), still in copyright","Electronic Sawyer charter-database page (King's College London), still in copyright",The Electronic Sawyer: https://esawyer.lib.cam.ac.uk/charter/442.html
cases/brunanburh/texts/raw_sources/esawyer_443.html,brunanburh,"Electronic Sawyer charter-database page (King's College London), still in copyright","Electronic Sawyer charter-database page (King's College London), still in copyright",The Electronic Sawyer: https://esawyer.lib.cam.ac.uk/charter/443.html
cases/brunanburh/texts/raw_sources/esawyer_444.html,brunanburh,"Electronic Sawyer charter-database page (King's College London), still in copyright","Electronic Sawyer charter-database page (King's College London), still in copyright",The Electronic Sawyer: https://esawyer.lib.cam.ac.uk/charter/444.html
cases/brunanburh/texts/raw_sources/esawyer_445.html,brunanburh,"Electronic Sawyer charter-database page (King's College London), still in copyright","Electronic Sawyer charter-database page (King's College London), still in copyright",The Electronic Sawyer: https://esawyer.lib.cam.ac.uk/charter/445.html
cases/brunanburh/texts/raw_sources/esawyer_446.html,brunanburh,"Electronic Sawyer charter-database page (King's College London), still in copyright","Electronic Sawyer charter-database page (King's College London), still in copyright",The Electronic Sawyer: https://esawyer.lib.cam.ac.uk/charter/446.html
cases/brunanburh/texts/raw_sources/mj_armes_en.html,brunanburh,web page still in copyright,web page still in copyright,"no URL recorded; the file name gives the source: ""mj armes en"""
cases/brunanburh/texts/raw_sources/mj_armes_w.html,brunanburh,web page still in copyright,web page still in copyright,"no URL recorded; the file name gives the source: ""mj armes w"""
cases/brunanburh/texts/sagabook14.txt,brunanburh,"article, book chapter, report or web page still in copyright","article, book chapter, report or web page still in copyright","no URL recorded; the file name gives the source: ""sagabook14"""
cases/brunanburh/texts/sal2014_jina.txt,brunanburh,"article, book chapter, report or web page still in copyright","article, book chapter, report or web page still in copyright","no URL recorded; the file name gives the source: ""sal2014 jina"""
cases/brunanburh/texts/senchus2012_jina.txt,brunanburh,"article, book chapter, report or web page still in copyright","article, book chapter, report or web page still in copyright","no URL recorded; the file name gives the source: ""senchus2012 jina"""
cases/brunanburh/texts/tudsbery.txt,brunanburh,"article, book chapter, report or web page still in copyright","article, book chapter, report or web page still in copyright","no URL recorded; the file name gives the source: ""tudsbery"""
cases/brunanburh/texts/yh_jina.txt,brunanburh,"article, book chapter, report or web page still in copyright","article, book chapter, report or web page still in copyright",https://doi.org/10.1080/0013838X.2022.2154045
cases/chicago-fire/bales/appendixD/catharine_mclaughlin.txt,chicago-fire,"testimony transcribed in the appendix of Bales, The Great Chicago Fire and the Myth of Mrs. O'Leary's Cow (2002)","testimony transcribed in the appendix of Bales, The Great Chicago Fire and the Myth of Mrs. O'Leary's Cow (2002); the 1871 testimony itself is public domain and the Tribune's reports of it are kept",https://www.loc.gov/resource/sn82014064/1871-11-26/ed-1/?sp=1
cases/chicago-fire/bales/appendixD/catherine_oleary.txt,chicago-fire,"testimony transcribed in the appendix of Bales, The Great Chicago Fire and the Myth of Mrs. O'Leary's Cow (2002)","testimony transcribed in the appendix of Bales, The Great Chicago Fire and the Myth of Mrs. O'Leary's Cow (2002); the 1871 testimony itself is public domain and the Tribune's reports of it are kept",https://greatchicagofire.org/oleary-legend-library/%E2%80%9Ckate-barn-afire%E2%80%9D/
cases/chicago-fire/bales/appendixD/catherine_sullivan.txt,chicago-fire,"testimony transcribed in the appendix of Bales, The Great Chicago Fire and the Myth of Mrs. O'Leary's Cow (2002)","testimony transcribed in the appendix of Bales, The Great Chicago Fire and the Myth of Mrs. O'Leary's Cow (2002); the 1871 testimony itself is public domain and the Tribune's reports of it are kept","no URL recorded; the file name gives the source: ""catherine sullivan"""
cases/chicago-fire/bales/appendixD/daniel_sullivan.txt,chicago-fire,"testimony transcribed in the appendix of Bales, The Great Chicago Fire and the Myth of Mrs. O'Leary's Cow (2002)","testimony transcribed in the appendix of Bales, The Great Chicago Fire and the Myth of Mrs. O'Leary's Cow (2002); the 1871 testimony itself is public domain and the Tribune's reports of it are kept",https://www.loc.gov/resource/sn82014064/1871-11-26/ed-1/?sp=1
cases/chicago-fire/bales/appendixD/dennis_regan.txt,chicago-fire,"testimony transcribed in the appendix of Bales, The Great Chicago Fire and the Myth of Mrs. O'Leary's Cow (2002)","testimony transcribed in the appendix of Bales, The Great Chicago Fire and the Myth of Mrs. O'Leary's Cow (2002); the 1871 testimony itself is public domain and the Tribune's reports of it are kept",https://www.loc.gov/resource/sn82014064/1871-11-25/ed-1/?sp=6
