source_db,db_id,url,publication_refs,province,findspot_modern,findspot_ancient,type,text,date_from,date_to,date_basis_if_stated,person,rank,include,notes
EDH,HD020257,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD020257,"AE 1977, 0541. ; J.E. Bogaers - J.K. Haalebos, Studien zu den Militärgrenzen Roms 2, Internationaler Limeskongress 1974 (Xanten 1977) 107-109; Abb. 6 (Zeichnung). - AE 1977. ;",Germania inferior,Nijmegen,Ulpia Noviomagus Batavorum,owner/artist inscription / tile,Leg(ionis) VIIII Hisp(anae),71,130,EDH dating field (71 AD - 130 AD),-,tile stamp LEG VIIII HISP,yes,"Concordance EDCS EDCS-09301104. = EDH HD020257 (AE 1977, 541, Nijmegen). EDCS holds a single entry for the Nijmegen stamp series."
EDH,HD021172,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD021172,"AE 1951, 0129. ; R.P. Wright, JRS 40, 1950, 116, Nr. 8. - AE 1951. ; RIB 0254; Zeichnung. ; J. Huskinson, Roman sculpture from Eastern England, CSIR Great Britain 1, 8 (Oxford 1994) 25, Nr. 51; Pl. 20, 51. ;",Britannia,Lincoln,Lindum,epitaph / stele,Q(uinti) Corneli / Q(uinti) f(ilii) Cla(udia) eq(uitis) / le(gionis) VIIII [|(centuria)] Cassi / Martia&lt;l=E&gt;is an(norum) / XL stip(endiorum) XIX / h(ic) s(itus) e(st),51,71,EDH dating field (51 AD - 71 AD),Q. Cornelius Q. f. Cla.,"eques leg. VIIII, centuria Cassi Martialis (aged 40, stip. 19)",yes,"Concordance EDCS EDCS-07800503. = EDH HD021172 (RIB 254, Lincoln)."
EDH,HD021539,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD021539,"AE 1914, 0262. ; AE 1922, p. 10 s. n. 79. ;",Galatia,"Yalvaç, bei",Antiochia Pisidiae,,C(aio) Carist[a]/nio C(ai) f(ilio) Ser(gia) Fr[on]/toni trib(uno) mil(itum) pr[aef(ecto)] / eq(uitum) alae Bosp(oranorum) adl[e]/cto in senatu inter tribunic(ios) promoto in/ter praetorios leg(ato) pro / pr(aetore) Ponti et Bithyn(iae) leg(ato) Imp(eratoris) / divi Vespasian(i) Aug(usti) leg(ionis) / IX Hispanae in Britann(ia) / leg(ato) pro pr(aetore) Imp(eratoris) divi Titi / Caes(aris) Aug(usti) et Imp(eratoris) Domitiani / Caes(aris) Aug(usti) provinc(iae) Pam/phyliae et Lyciae patro/no col(oniae) // T(itus) Caristanius Cal/purnianus Rufus / ob merita eius h(onoris) c(ausa),,,EDH dating field,C. Caristanius C. f. Serg. Fronto (cos. suff. 90),legatus Imp. divi Vespasiani leg. IX Hispanae in Britannia (c. 76-79),yes,"Concordance EDCS EDCS-16201163. = EDH HD021539 (ILS 9485 = AE 1914, 262, Antioch in Pisidia)."
EDH,HD021832,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD021832,"AE 1950, 0124. ; G. Webster, JRS 39, 1949, 59-60; fig. 3 (Zeichnung). - AE 1950. ; RIB 2462, 9(i). (B) ;",Britannia,Lincoln?,Lindum?,owner/artist inscription / tile,Leg(io) IX Hisp(ana),71,122,EDH dating field (71 AD - 122 AD),-,tile stamp LEG IX HISP,yes,"Concordance EDCS EDCS-15000024. = EDH HD021832 (AE 1950, 124, Lincoln?; = RIB II 2462.9(i) per EDH comment)."
EDH,HD025791,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD025791,"AE 1930, 0109. ;",Asia,Yali-Baiyat,Savatra,,Lucio Servaeo [Sa]/bino |(centurioni) leg(ionis) VIII(I) His/panae |(centurioni) leg(ionis) III Au[g(ustae)] / |(centurioni) leg(ionis) VI victricis / statuam ex testam[ento],,,EDH dating field,L. Servaeus Sabinus,"centurio leg. VIIII Hispanae, III Augustae, VI Victricis",yes,"Concordance EDCS EDCS-16100418. = EDH HD025791 (AE 1930, 109, Savatra)."
EDH,HD026035,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD026035,"C. Praschniker, JŒAI (Beibl.) 21/22, 1922, 215-216, Nr. 4; Abb. 127. – AE 1923. ; AE 1923, 0040. ; L. Rey, Albania 4, 1932, 105, Nr. 8. ; P.C. Sestieri, Studime e Tekste 2, 1, 1943, 82, Nr. 45. ; S. Anamali - H. Ceka - É. Deniaux, Corpus des inscriptions latines d’Albanie (Rome 2009) 56, Nr. 58; Zeichnung. ; U. Ehmig - R. Haensch, Die lateinischen Inschriften aus Albanien (LIA) (Bonn 2012) 115-117, Nr. 41; Zeichnung. ;",Macedonia,Durrës,Dyrrachium,honorific inscription / tabula,Q(uinto) Paesidio C(ai) f(ilio) / Aem(ilia) Macedoni / prim(o) pil(o) leg(ionis) IX Hisp(anae) / praef(ecto) castror(um) leg(ionis) IV / Scythic(ae) trib(uno) milit(um) leg(ionis) / eiusdem auguri / flamini Neronis Claudii Caesaris Aug(usti) / Germanici,54,66,EDH dating field (54 AD - 66 AD),Q. Paesidius C. f. Aem. Macedo,primus pilus leg. IX Hispanae; praef. castrorum leg. IIII Scythicae; trib. mil. leg. eiusdem; augur; flamen Neronis,yes,"Concordance EDCS EDCS-16201101. = EDH HD026035 (Dyrrachium), Neronian."
EDH,HD026601,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD026601,"AE 1919, 0001. (B) ; L.R. Dean, AJA 23, 1919, 163-166, Nr. 5; fig. 1 (Zeichnung). (B) - AE 1919. ; A.B. West, Corinth. Results of excavations conducted by The American School of Classical Studies at Athens 8, 2. Latin inscriptions 1896-1926 (Cambridge [Mass.] 1931) 31-35, Nr. 54; Foto. ; PIR (2. Aufl.) A 993. ;",Achaia,"Peirene, bei","Colonia Laus Iulia Corinthus, aus",honorific inscription / statue base,[L(ucio) A]quillio C(ai) f(ilio) Pom(ptina) / [Fl]oro Turciano Gallo / [Xvir(o)] stlitib(us) iud(icandis) trib(uno) milit(um) leg(ionis) VIIII Mac(edonicae) / [proq]uaest(ori) Cypro(!) ex auctoritate Aug(usti) / [tr(ibuno) pl(ebis)] pr(aetori) proco(n)s(uli) provinciae Ach[ai(ae)] / [---]ti Ti(berius) Claudi(us) Anaxilas et / [--- II]vir(i) quinq(uennalis) sua pecunia,52,53,EDH dating field (52 AD - 53 AD),L. Aquillius C. f. Pom. Florus Turcianus Gallus,tribunus militum leg. VIIII Macedonicae,flag,"Concordance EDCS EDCS-08200279. = EDH HD026601 (Corinth). ""IX Macedonica"" = Augustan-period cognomen of a ninth legion, usually identified with the later IX Hispana (Ritterling; Keppie); flagged."
EDH,HD027393,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD027393,"AE 1913, 0215. ;",Latium et Campania (Regio I),Agnano,,,D(is) M(anibus) / L(ucio) Decrio L(uci) f(ilio) Ser(gia) / Longino / praef(ecto) fabrum / |(centurioni) leg(ionis) II Aug(ustae) et VII / gemin(ae) bis et XXII / Deiotar(i)an(ae) p(rimo) p(ilo) legion(is) / eiusdem praef(ecto) castr(orum) / leg(ionis) VIIII Hispa(nae) / L(ucius) Decrius L(uci) f(ilius) Ser(gia) / Iulianus qui et / Numisianus / princeps leg(ionis) XI Cl(audiae) p(iae) f(idelis) patri opt(imo) / testamento fieri iussit,,,EDH dating field,L. Decrius L. f. Serg. Longinus,"praef. fabrum; centurio leg. II Aug., VII Gem. (bis), XXII Deiot.; primus pilus leg. eiusdem; praefectus castrorum leg. VIIII Hispanae",yes,"Concordance EDCS EDCS-16300271. = EDH HD027393 (AE 1913, 215, Agnano). Career pairs the two ""lost"" legions XXII Deiotariana and IX Hispana."
EDH,HD027675,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD027675,"AE 1949, 0103. ; R.P. Wright, JRS 38, 1948, 103-104, Nr. 21. - AE 1949. ; AE 1951, p. 9 s. n. 9. ; RIB 2501, 7; Zeichnung. ;",Britannia,London,Londinium,owner/artist inscription? / instrumentum domesticum,[---] ima(ginifer) leg(ionis) IX,71,100,EDH dating field (71 AD - 100 AD),anonymous,imaginifer leg. IX (graffito),yes,"Concordance EDCS EDCS-15100031. = EDH HD027675 (AE 1949, 103, London). Same object as EDCS-51700627 (RIB II 2501.7)."
EDH,HD030763,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD030763,"B.E. Thomasson, Fasti Africani. Senatorische und ritterliche Amtsträger in den römischen Provinzen Nordafrikas von Augustus bis Diokletian (Stockholm 1996) 53, Nr. 63. ; CIL 14, 03612. ; ILS 1025. ; InscrIt 04, 1 (2. Aufl.) 0129. ;",Latium et Campania (Regio I),Tivoli,Tibur,honorific inscription,L(ucio) Roscio M(arci) f(ilio) Qui(rina) / Aeliano Maecio / Celeri / co(n)s(uli) proco(n)s(uli) provinc(iae) / Africae pr(aetori) tr(ibuno) pl(ebis) quaest(ori) / Aug(usti) X vir(o) stlitib(us) iudic(andis) / trib(uno) mil(itum) leg(ionis) IX Hispan(ae) / vexillarior(um) eiusdem / in expeditione Germanica / donato ab Imp(eratore) Aug(usto) / militarib(us) donis corona / vallari et murali vexillis / argenteis II hastis puris II / salio / C(aius) Vecilius C(ai) f(ilio) Pal(atina) Probus / amico optimo / l(ocus) d(atus) s(enatus) c(onsulto),,,EDH dating field,L. Roscius M. f. Qui. Aelianus Maecius Celer (cos. suff. 100),"tribunus militum leg. IX Hispanae, vexillariorum eiusdem in expeditione Germanica (AD 83); donatus dona militaria",yes,"Concordance EDCS EDCS-05801602. = EDH HD030763 (CIL XIV 3612 = ILS 1025, Tibur)."
EDH,HD031258,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD031258,"B.E. Thomasson, Fasti Africani. Senatorische und ritterliche Amtsträger in den römischen Provinzen Nordafrikas von Augustus bis Diokletian (Stockholm 1996) 149, Nr. 29a. ; CIL 08, 02747. ; ILS 1070. ; PIR (2. Aufl.) A 68. ; PIR (2. Aufl.) B 99. ;",Numidia,Tazoult-Lambèse,Lambaesis,,L(ucio) Novio Crispino / Martiali Saturnino / co(n)s(uli) desig(nato) leg(ato) Aug(usti) pr(o) pr(aetore) / provinciae Africae proco(n)s(uli) Galliae / Narbonensis leg(ato) Aug(usti) leg(ionis) I Italicae / leg(ato) Aug(usti) iuridico Astyriae et Gallaeciae / praetori trib(uno) pleb(is) quaestori pro praet(ore) / provinciae Macedoniae trib(uno) mil(itum) / leg(ionis) VIIII Hisp(anae) IIIIviro viarum / curandarum seviro eq(uitum) Romanorum / veterani [[leg(ionis) III]] Aug(ustae) / qui militare coeperunt Glabrione / et Torquato item Asiatico II et Aquilino co(n)s(ulibus),149,149,EDH dating field,L. Novius Crispinus Martialis Saturninus (cos. 150),tribunus militum leg. VIIII Hispanae (early in career),yes,"Concordance EDCS EDCS-20800611. = EDH HD031258 (CIL VIII 2747 = ILS 1070, Lambaesis)."
EDH,HD031261,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD031261,"B.E. Thomasson, Fasti Africani. Senatorische und ritterliche Amtsträger in den römischen Provinzen Nordafrikas von Augustus bis Diokletian (Stockholm 1996) 149, Nr. 29b. ; CIL 08, 18273. ;",Numidia,Tazoult-Lambèse,Lambaesis,honorific inscription,[L(ucio) Novio C]rispi[no] / [Martial]i Saturn[ino] / [co(n)s(uli) de]sig(nato) leg(ato) Aug(usti) p[r(o) pr(aetore)] / [provinci]ae Africae proco(n)s(ularis) [Galliae] / [Narb]onensis leg(ato) Aug(usti) leg(ionis) / It[alic(ae) leg(ato)] / [Aug(usti) i]uridico Astyriae et [C]a[llaeciae] / [praeto]ri trib(uno) pleb(is) quaestori [pr(o) pr(aetore)] / [provinc]iae Macedoniae [trib(uno) militum] / [leg(ionis) V]IIII Hisp(anae) IIIIv[iro viarum cu]/[rand]arum seviro [eq(uitum) Romanorum] / [---]ilius Balbus tr[ib(unus) mil(itum)] / [---] Ulpius Postum[us ---] / [---] Cascellius C(ai) f(ilius) [---] / [---] Ulpius [---]vi[---] / [---] Pompeius Pro[---] / [---] Cassius [---],149,149,EDH dating field,L. Novius Crispinus Martialis Saturninus (cos. 150),tribunus militum leg. VIIII Hispanae,yes,"Concordance EDCS EDCS-24800728. = EDH HD031261 (CIL VIII 18273, Lambaesis), second copy."
EDH,HD031653,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD031653,"AE 1903, 0368. ; IGLS 06, 2796. ; AE 1912, p. 75 s. n. 264. ; AE 1907, p. 37 s. n. 134. ; AE 1904, p. 22 s. n. 95. ;",Syria,Baalbek,Heliopolis,,C(aio) Velio Sal/vi f(ilio) Rufo p(rimo) p(ilo) leg(ionis) XII / fulm(inatae) / praef(ecto) vexillari/orum leg(ionum) VIIII I adiut(ricis) II adiut(ricis) / II Aug(ustae) VIII Aug(ustae) VIIII Hisp(aniae) XIIII ge/m(inae) XX vic(tricis) XXI rapac(is) trib(uno) co/h(ortis) XIII urb(anae) duci exercitus Africi et / Mauretanici ad nationes quae / sunt in Mauretania comprimendas do/nis donato ab Imp(eratore) Vespasiano et Imp(eratore) / Tito bello Iudaico corona vallar(i) / torquibus fa[le]ris armillis item / donis donato corona murali / hastis duabus vexillis duobus et bel/lo Marcomannorum Quadorum / Sarmatarum adversus quos expedi/tionem fecit per regnum Decebali / regis Dacorum corona murali has/tis duabus vexillis duobus proc(uratori) Imp(eratoris) Cae/saris Aug(usti) Germanici provinciae Panno/niae et Dalmatiae item proc(uratori) provinciae / Raetiae ius gladi hic missus in Parthiam Epipha/nem et Callinicum regis Antiochi filios ad / Imp(eratorem) Vespasianum cum ampla manu tribu/tariorum reduxit M(arcus) Alfius M(arci) f(ilius) Fabia O/lympiacus aquilife(r) vet(eranus) leg(ionis) XV Apollinar(is),,,EDH dating field,C. Velius Salvi f. Rufus,"primus pilus leg. XII Fulm.; praefectus vexillariorum legionum VIIII (I Adi., II Adi., II Aug., VIII Aug., VIIII Hisp., XIIII Gem., XX Vic., XXI Rapax)",yes,"Concordance EDCS EDCS-16300627. = EDH HD031653 (ILS 9200 = IGLS VI 2796, Heliopolis). Vexillation of IX Hispana in a Domitianic war (83 or 89)."
EDH,HD042822,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD042822,"ILBulg 432. ; CIL 03, 12411. ; ILS 2666b. ; AE 1892, 0106. ; H. Škorpil - K. Škorpil, AEM 15, 1892, 209, Nr. 80; Zeichnung. - AE 1892. ;",Moesia inferior,Pavlikeni,"Nicopolis ad Istrum, bei",epitaph / stele,D(is) M(anibus) / L(ucius) Val(erius) L(uci) f(ilius) Proclus / mil(es) leg(ionis) V M(acedonicae) b(ene)f(iciarius) lega(ti) / opt(io) ad spe(m) ordin(is) / |(centurio) leg(ionis) eiusd(em) d(onatus) tor(quibus) ar(millis) / pha(le)r(is) bel(lo) Dac(ico) |(centurio) leg(ionis) I / Ital(icae) |(centurio) leg(ionis) XI Cl(audiae) |(centurio) leg(ionis) / XX V(aleriae) v(ictricis) |(centurio) leg(ionis) VIIII Hisp(anae) / mis(sus) h(onesta) mis(sione) vix(it) an(nos) LXXV / h(ic) s(itus) e(st),121,150,EDH dating field (121 AD - 150 AD),L. Valerius L. f. Proclus (died aged 75),"centurio leg. V Mac. (donatus bello Dacico), I Ital., XI Cl., XX V.V., VIIII Hisp.; missus honesta missione",yes,"Concordance EDCS EDCS-29100179. = EDH HD042822 (CIL III 12411 = ILS 2666b = ILBulg 432, Nedan/Nicopolis ad Istrum). Last post in IX Hispana after the Dacian wars."
EDH,HD049599,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD049599,"AE 1997, 1023. ;",Narbonensis,Vidauban,,epitaph / tabula,T(ito) Cri[spio mi]l(iti) leg(ionis) IX / T(itus) Cr[ispius ---] / [-] Cesa[---]aus / AV[--]M[---] Secun[du]s / C[---]erius Iustus / O[---] s(ua) p(ecunia) f(aciendum) c(uraverunt),,,EDH dating field,T. Crispius,miles leg. IX,yes,"Concordance EDCS EDCS-08600717. = EDH HD049599 (AE 1997, 1023)."
EDH,HD050314,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD050314,"AE 2009, 0925-0928. ; AE 1996, 1107. ; W.J.H. Willems u. a., Ulpia Noviomagus. Roman Nijmegen. The Batavian capital at the imperial frontier, JRA (Suppl.) 73 (Portsmouth (Rhode Island) 2009) 152; fig. 54 (Zeichnungen). - AE 2009, 0925-0928. ; P.J. Sijpesteijn, ZPE 111, 1996, 282-282; Foto. - AE 1996. ;",Germania inferior,Nijmegen,Ulpia Noviomagus Batavorum,owner/artist inscription / instrumentum militare,Leg(io) Hisp(ana) / IX,121,130,EDH dating field (121 AD - 130 AD),-,silvered bronze phalera pendant inscribed LEG HISP IX,yes,"Concordance EDCS EDCS-03000651. = EDH HD050314 (AE 1996, 1107; ZPE 111, 281; Nijmegen/Ewijk). EDCS/EDH date 121-130."
EDH,HD050845,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD050845,"AE 1995, 1010. ; M.C. Bishop, ArchAel 23, 1995, 311-132; Foto. - AE 1995. ; M.W.C. Hassall - R.S.O. Tomlin, Britannia 26, 1995, 389, (e), Anm. 59 u. 60. - AE 1995. ;",Britannia,Corbridge?,Corstopitum?,owner/artist inscription / tile,[Le]g(io) VIII[I ---],105,122,EDH dating field (105 AD - 122 AD),-,stamp/graffito LEG VIIII,yes,"Concordance EDCS EDCS-03300636. = EDH HD050845 (AE 1995, 1010, Corbridge)."
EDH,HD050953,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD050953,"AE 1995, 1204. (B) ; V. Kolšek, AArchSlov 46, 1995, 282. 288, Nr. 6; sl. 6. (B) - AE 1995. ; PME V 052. ; PIR V 185. ;",Noricum,Celje,Celeia,honorific inscription / tabula,[------] / [---? p]raef(ecto) eq(uitum) al(ae) Br[itannicae] / mil(l)iariae prae[fecto auxil(iis)] / [H]ispaniensib(us) in T[ingitaniam] / [M]auretanic(am) mis[sis praef(ecto)] / [eq(uitum)] al(ae) II Pannonior(um) [trib(uno) mil(itum) leg(ionis)] / [XX]X U(lpiae) praef(ecto) coh(ortis) II G[allorum] / Macedonicae / [-? M]arcius Felix prae[f(ecuts)?] / [si]ngularium praes[idi] / optime de se mer[ito],147,150,EDH dating field (147 AD - 150 AD),T. Varius Clemens,praefectus auxiliis Hispaniensibus,no,"Concordance EDCS EDCS-03300728. = EDH HD050953 (Celeia); auxilia, not the legion."
