TEMPERATURE																		PRECIPITATION        																
     	JAN 	FEB 	MRC	APR 	MAY	JUN 	JUL 	AUG 	SEP 	OKT 	NOV 	DEC	Winter	Spring	Summer	Autumn	Year	JAN 	FEB 	MRC	APR 	MAY	JUN 	JUL 	AUG 	SEP 	OKT 	NOV 	DEC	Winter	Spring	Summer	Autumn	Year
1536	-1	-1	0	0	1	2	3	3	2	1	1	0	-1	0.3	2.7	1.3	0.83	0	0	0	0	0	0	-3	-2	-1	-1	0	0	-0.30	0.00	-1.70	-0.70	-0.67
1537	0	0	0	1	0	0	1	0	-1	0	0	1	0	0.3	0.3	-0.3	0.08	0	0	0	0	1	1	-1	0	0	0	0	0	0.00	0.30	0.00	0.00	0.08
1538	2	2	0	-2	0	0	0	0	0	0	0	0	1.7	-0.7	0	0	0.25	0	0	-1	-2	0	0	0	0	0	0	0	0	0.00	-1.00	0.00	0.00	-0.25
1539	0	2	0	0	1	1	0	1	0	0	0	0	0.7	0.3	0.7	0	0.42	-2	-2	0	0	0	0	0	0	0	-1	-1	0	-1.30	0.00	0.00	-0.70	-0.50
1540	-1	1	-1	3	3	3	3	2	2	1	1	2	0	1.7	2.7	1.3	1.42	0	-1	-3	-3	-3	-3	-3	-3	-2	-1	0	0	-0.30	-3.00	-3.00	-1.00	-1.83
1541	-1	-2	-1	1	-1	-1	1	0	0	0	0	0	-0.3	-0.3	0	0	-0.17	0	0	0	0	1	0	0	1	0	0	0	0	0.00	0.30	0.30	0.00	0.17
1542	1	-1	-1	-1	-2	-2	-2	-2	-2	0	-1	0	0.1	-1.3	-2	-1	-1.06	0	0	1	1	1	0	0	3	0	0	0	0	0.00	1.00	1.00	0.00	0.50
1543	0	0	0	0	-1	-1	0	0	0	0	0	0	0	-0.3	-0.3	0	-0.17	0	0	0	0	1	1	0	0	0	0	0	0	0.00	0.30	0.30	0.00	0.17
1544	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0.3	0.3	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00
1545	0	0	0	0	0	1	2	2	2	1	0	0	0	0	1.7	1	0.67	1	1	0	1	1	1	-1	-2	-2	-2	0	0	0.70	0.70	-0.70	-1.30	-0.17
1546	1	0	1	0	-2	0	0	0	0	0	0	0	0.3	-0.3	0	0	0	0	0	-2	0	0	0	1	0	-2	-3	1	-3	0.00	-0.70	0.30	-1.30	-0.42
1547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3	0	0	0	0	0	0	0	0	0	0	0	-2.00	0.00	0.00	0.00	-0.50
1548	0	0	-1	0	0	0	0	0	0	0	0	0	0	-0.3	0	0	-0.08	0	0	0	0	0	0	0	-2	-2	0	0	0	0.00	0.00	-0.70	-0.70	-0.33
1549	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.3	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00
1550	0	0	-1	0	-1	1	0	-1	0	0	0	0	0	-0.7	0	0	-0.17	0	0	0	1	3	1	0	0	1	0	0	0	0.00	1.30	0.30	0.30	0.50
1551	-3	-2	0	-1	0	1	1	0	1	-3	0	0	-1.7	-0.3	0.7	-0.7	-0.5	0	0	2	0	-1	-1	-2	2	0	2	0	-1	0.00	0.30	-0.30	0.70	0.17
1552	2	0	0	-1	3	1	1	1	0	1	0	0	0.7	0.7	1	0.3	0.67	0	0	0	0	-1	0	0	0	0	0	0	2	-0.30	-0.30	0.00	0.00	-0.17
1553	1	-2	-1	0	0	0	1	0	0	1	0	0	-0.3	-0.3	0.3	0.3	0	1	-1	-2	0	1	0	0	0	2	0	0	0	0.70	-0.30	0.00	0.70	0.25
1554	-1	0	0	1	0	0	1	0	1	1	0	0	-0.3	0.3	0.3	0.7	0.25	-2	1	0	-2	0	1	-1	0	0	0	-2	0	-0.30	-0.70	0.00	-0.70	-0.42
1555	0	0	0	0	1	-1	-2	-1	0	0	-1	0	0	0.3	-1.3	-0.3	-0.33	2	0	-2	2	0	2	2	0	0	2	1	2	0.70	0.00	1.30	1.00	0.75
1556	-1	-1	-2	-1	2	2	2	2	1	0	0	-2	-0.7	-0.3	2	0.3	0.33	2	0	0	2	-1	0	0	-2	1	0	2	-2	1.30	0.30	-0.70	1.00	0.50
1557	-1	0	-2	1	0	1	1	1	0	0	0	-1	-1	-0.3	1	0	-0.08	0	0	0	0	-1	-2	0	0	0	0	0	-1	-0.70	-0.30	-0.70	0.00	-0.42
1558	0	-1	1	1	0	-1	1	1	1	0	0	-1	-0.7	0.7	0.3	0.3	0.17	-2	0	-2	0	0	2	-2	-2	-2	0	0	-1	-1.00	-0.70	-0.70	-0.70	-0.75
1559	0	1	2	1	2	1	2	2	1	0	-2	0	0	1.7	1.7	-0.3	0.75	-1	0	0	0	0	-1	-2	-2	0	-2	2	0	-0.70	0.00	-1.70	0.00	-0.58
1560	0	0	2	0	1	-2	-2	0	1	0	0	-1	0	1	-1.3	0.3	0	0	0	-3	0	2	3	3	-2	2	-1	0	-2	0.00	-0.30	1.30	0.30	0.33
1561	-3	-1	-2	-1	3	0	1	-1	0	1	0	1	-1.7	0	0	0.3	-0.33	0	0	0	0	-2	0	0	0	1	0	0	-1	-0.70	-0.70	0.00	0.30	-0.25
1562	2	1	0	1	0	0	0	1	1	1	0	-2	1.3	0.3	0.3	0.7	0.67	0	0	2	0	0	0	1	0	0	0	0	0	-0.30	0.70	0.30	0.00	0.17
1563	-2	1	-1	0	1	1	0	0	1	-2	-1	1	-1	0	0.3	-0.7	-0.33	0	-2	0	-1	0	0	2	0	-2	0	0	0	-0.70	-0.30	0.70	-0.70	-0.25
1564	-1	0	0	2	-2	0	-1	1	1	-2	-1	-1	0	0	0	-0.7	-0.17	-2	0	0	-1	2	0	2	-2	-3	2	2	0	-0.70	0.30	0.00	0.30	0.00
1565	-3	-3	-2	1	0	1	0	1	1	-2	-1	-1	-2.3	-0.3	0.7	-0.7	-0.67	0	-2	0	-1	-2	0	0	0	-1	0	0	0	-0.70	-1.00	0.00	-0.30	-0.50
1566	-1	-2	-3	-2	0	-1	1	1	1	0	0	0	-1.3	-1.7	0.3	0.3	-0.58	0	-2	0	2	0	3	-1	0	0	-2	0	0	-0.70	0.70	0.70	-0.70	0.00
1567	-3	0	1	1	1	0	0	1	1	0	-1	0	-1	1	0.3	0	0.08	-3	0	0	-2	-2	-3	-2	0	-2	-2	-2	-2	-1.00	-1.30	-1.70	-2.00	-1.50
1568	1	-1	-3	-2	1	-1	-2	1	0	1	-1	-1	0	-1.3	-0.7	0	-0.5	0	-1	2	1	-2	1	3	-2	0	-2	0	0	-1.00	0.30	0.70	-0.70	-0.17
1569	-1	-1	-2	-3	0	0	-1	-1	1	1	1	0	-1	-1.7	-0.7	1	-0.58	2	0	2	0	0	0	0	2	-2	0	0	3	0.70	0.70	0.70	-0.70	0.33
1570	-1	0	-3	-3	-1	0	-2	-1	0	0	0	-1	-0.3	-2.3	-1	0	-0.92	2	0	0	0	0	2	3	2	0	-1	2	3	1.70	0.00	2.30	0.30	1.08
1571	-3	-1	-3	1	2	-1	0	1	2	0	1	-1	-1.7	0	0	1	-0.17	3	0	-2	-2	0	1	0	2	0	1	0	0	2.00	-1.30	1.00	0.30	0.50
1572	0	-1	-3	1	2	1	0	1	1	0	-3	-3	-0.7	0	0.7	-0.7	-0.17	0	1	0	0	-1	0	1	0	2	0	0	0	0.30	-0.30	0.30	0.70	0.25
1573	-3	-3	-3	-1	-2	0	-1	-2	-3	-2	1	0	-3	-2	-1	-1.3	-1.83	0	-2	0	1	2	0	1	2	3	2	-1	-1	-0.70	1.00	1.00	1.30	0.67
1574	1	-2	0	-3	1	1	-2	1	1	0	1	0	-0.3	-0.7	0	0.7	-0.08	1	2	0	0	-1	0	2	0	0	2	0	0	0.70	-0.30	0.70	0.70	0.42
1575	-1	-1	0	0	-1	0	1	1	1	-1	0	-1	-0.7	-0.3	0.7	0	-0.08	0	-2	0	2	2	0	-2	0	-1	0	-2	0	-0.70	1.30	-0.70	-1.00	-0.25
1576	0	0	0	0	-3	-2	0	-1	-1	-1	0	0	-0.3	-1	-1	-0.7	-0.75	0	0	3	0	0	2	0	1	0	0	0	-1	0.00	1.00	1.00	0.00	0.50
1577	-1	-1	1	-1	-1	-1	-2	1	1	0	0	0	-0.7	-0.3	-0.7	0.3	-0.33	0	-1	-1	0	0	2	0	-1	0	0	0	-1	-0.70	-0.30	0.30	0.00	-0.17
1578	1	-1	1	-2	-3	0	0	0	-1	0	3	0	0	-1.3	0	0.7	-0.17	0	0	-1	1	0	0	1	0	-3	0	0	1	-0.30	0.00	0.30	-1.00	-0.25
1579	0	1	1	-2	-1	-2	-3	-3	-1	0	0	0	0.3	-0.7	-2.7	-0.3	-0.83	1	1	-1	0	1	2	3	2	3	0	0	0	1.00	0.00	2.30	1.00	1.08
1580	0	0	-1	0	1	1	-2	1	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	0	2	0	-2	-2	0	0	-0.70	-0.30	0.70	-1.30	-0.42
1581	1	0	0	-2	-1	0	1	1	1	0	0	1	0.3	-1	0.7	0.3	0.08	1	0	1	1	1	-1	-1	-1	-3	0	0	0	0.30	1.00	-1.00	-1.00	-0.17
1582	1	-1	-2	-2	0	-1	1	0	0	0	0	1	0.3	-1.3	0	0	-0.25	1	0	1	1	0	0	1	0	-1	0	0	0	0.30	0.70	0.30	-0.30	0.25
1583	1	-3	0	1	3	2	0	1	0	0	0	0	-0.3	1.3	1	0	0.5	0	0	0	-3	-3	-1	0	0	0	0	1	1	0.00	-2.00	-0.30	0.30	-0.50
1584	3	1	-1	0	3	-1	-1	-1	1	0	0	0	1.3	0.7	-1	0.3	0.33	2	0	1	-1	-1	3	3	2	0	0	-2	-3	1.00	-0.30	2.70	-0.70	0.67
1585	-1	0	2	1	0	-2	-2	-2	0	0	0	0	-0.3	1	-2	0	-0.33	-3	-2	-1	0	1	2	2	3	1	0	0	0	-2.70	0.00	2.30	0.30	0.00
1586	-2	0	-1	-2	0	0	1	0	0	-1	-2	-2	-0.7	-1	0.3	-1	-0.58	-1	0	0	1	0	0	-1	0	0	0	0	0	-0.30	0.30	-0.30	0.00	-0.08
1587	-2	-2	-3	-1	-2	-3	-3	2	-3	-2	1	0	-2	-2	-1.3	-1.3	-1.67	0	0	0	0	1	3	0	-3	1	1	0	2	0.00	0.30	0.00	0.70	0.25
1588	-1	0	0	0	0	-2	-2	-2	1	1	0	-1	-0.3	0	-2	0.7	-0.42	-3	0	-2	-2	-3	3	3	3	0	0	1	1	-0.30	-2.30	3.00	0.30	0.17
1589	-2	-1	0	0	-1	-2	-1	-1	-1	0	1	0	-1.3	-0.3	-1.3	0	-0.75	-3	-3	-1	-1	0	3	2	1	2	0	0	3	-1.70	-0.70	2.00	0.70	0.08
1590	-1	1	-1	1	-1	1	1	1	2	0	1	-2	0	-0.3	1	1	0.42	-1	1	-1	-3	0	0	-1	-2	-2	0	1	-1	1.00	-1.30	-1.00	-0.30	-0.42
1591	-1	-1	-1	1	1	1	0	1	1	1	-1	0	-1.3	0.3	0.7	0.3	0	-1	-1	-1	0	0	1	1	0	0	0	0	-1	-1.00	-0.30	0.70	0.00	-0.17
1592	2	0	0	-1	-1	-2	1	1	1	1	-1	-1	0.7	-0.7	0	0.3	0.08	0	0	0	1	1	1	-2	-2	-1	0	0	0	-0.30	0.70	-1.00	-0.30	-0.25
1593	-2	-1	0	0	1	0	-1	-2	-2	0	-1	-1	-1.3	0.3	-1	-1	-0.75	0	0	0	1	0	0	1	1	1	0	1	1	0.00	0.30	0.70	0.70	0.42
1594	0	-1	0	-1	-3	0	-2	-2	-2	-2	0	-3	-0.7	-1.3	-1.3	-1.3	-1.17	1	-1	1	1	0	0	2	2	1	1	1	-2	0.30	0.70	1.30	1.00	0.83
1595	-2	-3	-2	-3	1	0	1	-1	0	-1	0	0	-2.7	-1.3	0	-0.3	-1.08	0	0	2	0	-1	-2	0	0	0	1	0	0	-0.70	0.30	-0.70	0.30	-0.17
1596	2	-1	0	0	0	-2	-2	-1	1	0	0	1	0.3	0	-1.7	0.3	-0.25	0	0	0	-2	2	3	3	2	0	0	0	0	0.00	0.00	2.70	0.00	0.67
1597	0	-1	-3	0	0	-1	-2	-2	-2	-2	0	-1	0	-1	-1.7	-1.3	-1	0	1	0	2	-1	0	2	2	1	0	0	0	0.30	0.30	1.30	0.30	0.58
1598	-1	-1	1	-2	-2	-1	0	0	1	-1	0	0	-1	-1	-0.3	0	-0.58	2	2	0	1	0	0	0	0	0	1	1	0	1.30	0.30	0.00	0.70	0.58
1599	-1	-1	1	0	1	-1	2	2	2	3	3	0	-0.7	0.7	1	2.7	0.92	0	0	-1	0	0	0	-2	1	-1	-2	-2	0	0.00	-0.30	-0.30	-1.70	-0.58
1600	-3	-3	-1	-2	-1	-1	-1	1	-2	-1	0	-2	-2	-1.3	-0.3	-1	-1.17	0	-2	-1	0	-1	0	1	0	1	-1	0	0	-0.70	-0.70	0.30	0.00	-0.25
1601	-1	-3	-3	-3	-1	-2	1	-1	-2	0	-1	-1	-2	-2.3	-0.7	-1	-1.5	0	0	0	0	-1	3	-1	1	-1	0	0	1	0.00	-0.30	1.00	-0.30	0.08
1602	0	3	3	0	-2	-1	1	-1	0	0	0	-3	0.7	0.3	-0.3	0	0.17	0	-1	-1	0	-3	0	0	3	2	0	0	0	0.00	-1.30	1.00	0.70	0.08
1603	-3	0	2	3	3	3	1	1	1	1	2	2	-2	2.7	1.7	1.3	0.92	0	0	-3	-3	-1	0	0	0	-1	-1	0	0	0.00	-2.30	0.00	-0.70	-0.75
1604	2	1	1	0	1	1	2	1	0	0	0	0	1.7	0.7	1.3	0	0.92	0	0	0	0	0	-1	0	0	0	0	0	0	0.00	0.00	-0.30	0.00	-0.08
1605	0	0	2	-2	0	0	1	1	1	1	1	0	0	0	0.7	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0.00	0.00	0.00	-0.30	-0.08
1606	0	0	0	0	0	-1	-1	-1	0	-1	0	0	0	0	-1	-0.3	-0.33	0	0	0	0	0	0	1	1	-1	-2	1	0	0.00	0.00	0.70	-0.70	0.00
1607	3	3	1	0	1	0	1	1	2	0	-1	-1	2	0.7	0.7	0.3	0.92	0	0	-2	-2	0	0	0	0	-1	0	0	1	0.00	-1.30	0.00	-0.30	-0.42
1608	-3	-3	0	-1	-1	-2	-1	-2	-2	-1	1	3	-2.3	-0.7	-1.7	-0.7	-1.33	3	3	-2	0	0	1	1	2	1	1	0	0	2.30	-0.70	1.30	0.70	0.92
1609	3	1	0	0	0	-2	-1	0	0	-3	0	0	2.3	0	-1	-1	0.08	-1	-3	-3	2	2	3	3	2	0	0	0	-1	-1.30	0.30	2.70	0.00	0.42
1610	2	-1	0	0	-1	1	-1	1	2	0	0	-1	0.3	-0.3	0.3	0.7	0.25	3	-3	0	-1	-2	0	3	-1	0	3	2	-3	-0.30	-1.00	0.70	1.70	0.25
1611	0	1	1	2	3	2	0	1	-1	-1	-1	0	0	2	1	-1	0.5	0	0	-2	-3	-3	0	0	0	0	0	0	0	-1.00	-2.70	0.00	0.00	-0.92
1612	0	0	0	-1	0	0	-1	2	0	-1	1	2	0	-0.3	0.3	0	0	1	0	-2	0	0	0	3	-1	0	3	0	0	0.30	-0.70	0.70	1.00	0.33
1613	3	2	1	-1	-2	-1	-1	0	-1	0	-2	-2	2.3	-0.7	-0.7	-1	0	-3	0	-1	0	3	3	3	0	-1	0	-1	0	-1.00	0.70	2.00	-0.70	0.25
1614	-2	-2	-3	-3	-1	-1	0	0	-1	0	-1	1	-2	-2.3	-0.3	-0.7	-1.33	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00
1615	0	0	0	0	-1	1	1	1	1	0	0	0	0.3	-0.3	1	0.3	0.33	0	0	0	0	0	0	-1	-1	0	0	0	0	0.00	0.00	-0.70	0.00	-0.17
1616	-3	-3	0	0	0	3	3	2	0	0	0	0	-2	0	2.7	0	0.17	0	0	-1	-1	-1	-3	-3	-1	0	0	0	0	0.00	-1.00	-2.30	0.00	-0.83
1617	3	2	3	-1	0	0	0	0	0	0	0	0	1.7	0.7	0	0	0.58	0	0	-2	1	0	0	0	0	0	0	0	-2	0.00	-0.30	0.00	0.00	-0.08
1618	-2	0	0	-1	-1	-2	0	-2	0	1	0	0	-0.7	-0.7	-1.3	0.3	-0.58	-3	-2	0	0	0	1	0	2	2	-1	0	0	-2.30	0.00	1.00	0.30	-0.25
1619	0	3	0	-1	0	1	0	-1	-1	-2	0	0	1	-0.3	0	-1	-0.08	0	0	0	1	0	0	0	0	0	0	-1	0	0.00	0.30	0.00	-0.30	0.00
1620	1	0	0	-2	1	0	0	0	1	0	0	0	0.3	-0.3	0	0.3	0.08	-1	0	0	0	-1	0	1	0	-1	-1	-2	0	-0.30	-0.30	0.30	-1.30	-0.42
1621	-3	0	0	0	-1	-2	-2	-2	0	0	0	0	-1	-0.3	-2	0	-0.83	0	0	0	0	0	1	2	2	0	0	0	0	0.00	0.00	1.70	0.00	0.42
1622	-1	-1	-1	0	1	0	0	1	1	0	0	0	-0.7	0	0.3	0.3	0	-1	1	1	-1	-1	1	0	0	0	0	0	0	0.00	-0.30	0.30	0.00	0.00
1623	-2	-2	-1	0	0	0	2	1	1	0	0	0	-1.3	-0.3	1	0.3	-0.08	0	0	0	0	0	1	-3	-2	-1	0	0	0	0.00	0.00	-1.30	-0.30	-0.42
1624	-3	-3	0	1	1	0	1	0	0	1	0	2	-2	0.7	0.3	0.3	-0.17	0	0	0	-1	-1	2	0	0	0	-1	-1	0	0.00	-0.70	0.70	-0.70	-0.17
1625	3	2	0	0	-2	-2	-1	-1	0	-1	0	0	2.3	-0.7	-1.3	-0.3	0	0	-1	0	0	1	1	0	0	0	0	0	0	-0.30	0.30	0.30	0.00	0.08
1626	1	1	0	0	0	0	0	1	1	1	0	0	0.7	0	0.3	0.7	0.42	0	-1	1	0	0	1	2	0	-3	-3	-1	0	-0.30	0.30	1.00	-2.30	-0.33
1627	-2	-2	-3	-3	-2	-3	0	0	-2	-1	0	2	-1.3	-2.7	-1	-1	-1.5	2	2	2	2	2	3	2	-1	2	0	0	1	1.30	2.00	1.30	0.70	1.33
1628	0	1	0	-3	-2	-3	-3	-1	-3	-2	-1	2	1	-1.7	-2.3	-2	-1.25	1	0	0	1	2	2	2	1	0	1	0	0	0.70	1.00	1.70	0.30	0.92
1629	0	1	-3	-2	1	2	-1	1	0	0	0	0	1	-1.3	0.7	0	0.08	0	0	0	0	1	0	2	-1	0	0	0	0	0.00	0.30	0.30	0.00	0.17
1630	1	0	0	0	-2	2	0	1	1	0	0	0	0.3	-0.7	1	0.3	0.25	0	0	1	-1	2	-2	0	-1	-1	0	0	-1	0.00	0.70	-1.00	-0.30	-0.17
1631	-1	0	0	0	2	2	1	-1	0	0	0	0	-0.3	0.7	0.7	0	0.25	0	0	0	0	-2	-2	-1	1	-1	-1	0	0	-0.30	-0.70	-0.70	-0.70	-0.58
1632	0	0	0	2	1	-3	1	-1	-1	-2	0	1	0	1	-1	-1	-0.25	0	0	0	0	-1	2	0	1	1	0	-1	-2	0.00	-0.30	1.00	0.00	0.17
1633	0	0	1	0	0	-2	1	0	0	-2	0	-3	0.3	0.3	-0.3	-0.7	-0.08	0	0	-1	0	0	1	0	0	0	0	0	-2	-0.70	-0.30	0.30	0.00	-0.17
1634	0	-1	0	0	0	-1	0	1	2	0	0	-1	-1.3	0	0	0.7	-0.17	0	0	0	0	0	1	0	-1	-2	-2	-2	-2	-0.70	0.00	0.00	-2.00	-0.67
1635	-1	0	-1	0	-1	-1	1	0	2	1	0	-1	-0.7	-0.7	0	1	-0.08	0	1	1	1	0	0	-1	0	0	0	0	0	-0.30	0.70	-0.30	0.00	0.00
1636	1	0	1	2	3	0	0	0	1	0	0	-1	0	2	0	0.3	0.58	0	0	-1	-1	-3	-1	0	0	-1	-1	1	0	0.00	-1.70	-0.30	-0.30	-0.58
1637	-2	0	0	1	3	2	0	0	0	0	0	0	-1	1.3	0.7	0	0.25	0	0	0	-1	-2	-2	0	1	0	0	0	0	0.00	-1.00	-0.30	0.00	-0.33
1638	-3	0	0	2	2	2	0	0	0	-1	0	0	-1	1.3	0.7	-0.3	0.17	-1	0	0	-1	0	0	0	0	0	0	0	0	-0.30	-0.30	0.00	0.00	-0.17
1639	2	3	2	2	-1	-1	-3	-2	0	3	0	0	1.7	1	-2	1	0.42	-1	-3	-2	0	1	1	1	0	0	-2	0	2	-1.30	-0.30	0.70	-0.70	-0.42
1640	1	1	-3	-1	-1	-1	1	-2	0	-3	0	-1	0.7	-1.7	-0.7	-1	-0.67	1	-1	1	1	1	2	-1	1	0	0	0	-1	0.70	1.00	0.70	0.00	0.58
1641	0	0	0	-1	-2	-2	0	0	1	0	-2	-2	-0.3	-1	-0.7	-0.3	-0.58	1	0	0	1	0	2	2	0	-1	0	0	0	0.00	0.30	1.30	-0.30	0.33
1642	0	0	-1	-1	-1	-2	-2	1	1	1	0	2	-0.7	-1	-1	0.7	-0.5	0	1	0	1	0	0	1	-1	0	-1	0	0	0.30	0.30	0.00	-0.30	0.08
1643	0	-1	-2	-3	-1	1	0	1	0	1	0	-2	0.3	-2	0.7	0.3	-0.17	0	1	-1	1	1	-1	0	-1	0	-1	0	0	0.30	0.30	-0.70	-0.30	-0.08
1644	-1	-1	-2	1	0	1	1	0	1	0	0	0	-1.3	-0.3	0.7	0.3	-0.17	0	0	-1	-1	0	-1	0	0	-1	0	0	0	0.00	-0.70	-0.30	-0.30	-0.33
1645	-2	0	-1	1	2	2	1	1	-1	0	0	0	-0.7	0.7	1.3	-0.3	0.25	0	0	0	-1	-1	-2	-2	-3	0	0	0	0	0.00	-0.70	-2.30	0.00	-0.75
1646	0	1	-1	0	1	-1	2	1	0	0	0	1	0.3	0	0.7	0	0.25	0	-1	-1	0	-2	0	-2	-2	1	1	1	1	-0.30	-1.00	-1.30	1.00	-0.42
1647	2	1	1	1	-1	-1	0	0	2	1	0	0	1.3	0.3	-0.3	1	0.58	1	-1	-1	-1	1	1	0	1	-1	-1	0	0	0.30	-0.30	0.70	-0.70	0.00
1648	0	-1	-1	0	0	-2	-2	-1	0	-3	-1	-2	-0.3	-0.3	-1.7	-1.3	-0.92	0	-1	1	-1	0	1	2	1	0	0	-1	0	-0.30	0.00	1.30	-0.30	0.17
1649	-1	-3	-3	-1	-2	-2	1	0	-1	0	1	1	-2	-2	-0.3	0	-1.08	1	0	1	1	1	2	0	0	0	0	-1	-1	0.30	1.00	0.70	-0.30	0.42
1650	3	3	-3	0	0	-1	1	1	-1	-1	0	-1	2.3	-1	0.3	-0.7	0.25	0	-1	0	0	1	1	0	0	1	1	0	1	-0.70	0.30	0.30	0.70	0.17
1651	1	-1	-2	-1	0	0	1	1	1	-1	0	0	-0.3	-1	0.7	0	-0.17	3	0	1	1	0	1	0	-1	-1	2	3	1	1.30	0.70	0.00	1.30	0.83
1652	0	0	-1	-1	-1	-1	0	1	1	3	2	-1	0	-1	0	2	0.25	0	0	1	1	0	0	2	-1	-2	-3	-2	-1	0.30	0.70	0.30	-2.30	-0.25
1653	-3	-3	0	0	3	2	1	-1	0	0	1	-1	-2.3	1	0.7	0.3	-0.08	0	0	-1	-1	-2	-3	0	1	1	0	-2	-2	-0.30	-1.30	-0.70	-0.30	-0.67
1654	0	-2	-1	1	1	0	0	1	1	0	0	0	-1	0.3	0.3	0.3	0	-3	-1	-2	-1	0	0	1	-1	-1	0	0	0	-2.00	-1.00	0.00	-0.30	-0.83
1655	0	1	0	-2	0	0	0	0	0	0	-1	0	0.3	-0.7	0	-0.3	-0.17	0	1	1	1	0	0	0	0	0	0	0	0	0.30	0.70	0.00	0.00	0.25
1656	-3	0	-1	1	0	-1	0	1	0	-1	0	0	-1	0	0	-0.3	-0.33	-1	0	0	-1	0	3	0	-1	0	0	0	0	-0.30	-0.30	0.70	0.00	0.00
1657	0	0	-1	0	1	-1	0	0	-1	0	1	0	0	0	-0.3	0	-0.08	0	0	-1	0	0	1	0	0	1	0	0	0	0.00	-0.30	0.30	0.30	0.08
1658	-2	-1	-1	0	-1	-1	0	0	1	1	0	0	-1	-0.7	-0.3	0.7	-0.33	2	0	0	0	0	0	0	0	0	0	0	0	0.70	0.00	0.00	0.00	0.17
1659	2	0	-1	0	1	2	0	-1	-1	-1	0	-2	0.7	0	0.3	-0.7	0.08	0	0	0	-1	-1	-1	0	1	3	2	0	0	0.00	-0.70	0.00	1.70	0.25
1660	-3	-2	0	2	1	-1	0	2	1	0	-1	1	-2.3	1	0.3	0	-0.25	-1	-1	1	-1	-1	1	0	-3	0	0	1	1	-0.70	-0.30	-0.70	0.30	-0.33
1661	3	1	3	0	1	2	1	-2	1	1	1	0	1.7	1.3	0.3	1	1.08	-1	-1	-2	0	0	-1	-1	2	-1	-1	-1	0	-0.30	-0.70	0.00	-1.00	-0.50
1662	2	0	2	1	-1	-1	0	0	1	1	1	-1	0.7	0.7	-0.3	1	0.5	-1	0	-2	0	0	1	-1	0	-1	-1	2	1	-0.30	-0.70	0.00	0.00	-0.25
1663	-3	-3	2	-1	2	-1	-2	-1	1	1	0	-1	-2.3	1	-1.3	0.7	-0.5	-1	-1	-2	0	0	2	2	1	-1	1	-1	-1	-0.30	-0.70	1.70	-0.30	0.08
