n,pamphlet_straight_word,pamphlet_straight_initial,pamphlet_numbering_words,pamphlet_numbering_initials,nara_word,nara_initial,gillogly_initial,straight_ne_gillogly,pamphlet_numbering_ne_gillogly,nara_ne_gillogly
164,and,A,and,A,organizing,O,O,X,X,
165,organizing,O,organizing,O,its,I,I,X,X,
166,its,I,its,I,powers,P,P,X,X,
167,powers,P,powers,P,in,I,I,X,X,
168,in,I,in,I,such,S,S,X,X,
169,such,S,such,S,form,F,F,X,X,
170,form,F,form,F,as,A,A,X,X,
171,as,A,as,A,to,T,T,X,X,
172,to,T,to,T,them,T,T,,,
173,them,T,them,T,shall,S,S,X,X,
174,shall,S,shall,S,seem,S,S,,,
175,seem,S,seem,S,most,M,M,X,X,
176,most,M,most,M,likely,L,L,X,X,
177,likely,L,likely,L,to,T,T,X,X,
178,to,T,to,T,effect,E,E,X,X,
179,effect,E,effect,E,their,T,T,X,X,
180,their,T,their,T,safety,S,S,X,X,
181,safety,S,safety,S,and,A,A,X,X,
182,and,A,and,A,happiness,H,H,X,X,
183,happiness,H,happiness,H,prudence,P,P,X,X,
184,prudence,P,prudence,P,indeed,I,I,X,X,
185,indeed,I,indeed,I,will,W,W,X,X,
186,will,W,will,W,dictate,D,D,X,X,
187,dictate,D,dictate,D,that,T,T,X,X,
188,that,T,that,T,governments,G,G,X,X,
189,governments,G,governments,G,long,L,L,X,X,
190,long,L,long,L,established,E,E,X,X,
191,established,E,established,E,should,S,S,X,X,
192,should,S,should,S,not,N,N,X,X,
193,not,N,not,N,be,B,B,X,X,
194,be,B,be,B,changed,C,C,X,X,
195,changed,C,changed,C,for,F,F,X,X,
196,for,F,for,F,light,L,L,X,X,
197,light,L,light,L,and,A,A,X,X,
198,and,A,and,A,transient,T,T,X,X,
199,transient,T,transient,T,causes,C,C,X,X,
200,causes,C,causes,C,and,A,A,X,X,
201,and,A,and,A,accordingly,A,A,,,
202,accordingly,A,accordingly,A,all,A,A,,,
203,all,A,all,A,experience,E,E,X,X,
204,experience,E,experience,E,hath,H,H,X,X,
205,hath,H,hath,H,shewn,S,S,X,X,
206,shown,S,shown,S,that,T,T,X,X,
207,that,T,that,T,mankind,M,M,X,X,
208,mankind,M,mankind,M,are,A,A,X,X,
209,are,A,are,A,more,M,M,X,X,
210,now,N,now,N,disposed,D,D,X,X,
211,disposed,D,disposed,D,to,T,T,X,X,
212,to,T,to,T,suffer,S,S,X,X,
213,suffer,S,suffer,S,while,W,W,X,X,
214,while,W,while,W,evils,E,E,X,X,
215,evils,E,evils,E,are,A,A,X,X,
216,are,A,are,A,sufferable,S,S,X,X,
217,sufferable,S,sufferable,S,than,T,T,X,X,
218,than,T,than,T,to,T,T,,,
219,to,T,to,T,right,R,R,X,X,
220,right,R,right,R,themselves,T,T,X,X,
221,themselves,T,themselves,T,by,B,B,X,X,
222,by,B,by,B,abolishing,A,A,X,X,
223,abolishing,A,abolishing,A,the,T,T,X,X,
224,the,T,the,T,forms,F,F,X,X,
225,forms,F,forms,F,to,T,T,X,X,
226,to,T,to,T,which,W,W,X,X,
227,which,W,which,W,they,T,T,X,X,
228,they,T,they,T,are,A,A,X,X,
229,are,A,are,A,accustomed,A,A,,,
230,accustomed,A,accustomed,A,but,B,B,X,X,
231,but,B,but,B,when,W,W,X,X,
232,when,W,when,W,a,A,A,X,X,
233,a,A,a,A,long,L,L,X,X,
234,long,L,long,L,train,T,T,X,X,
235,train,T,train,T,of,O,O,X,X,
236,of,O,of,O,abuses,A,A,X,X,
237,abuses,A,abuses,A,and,A,A,,,
238,and,A,and,A,usurpations,U,U,X,X,
239,usurpations,U,usurpations,U,pursuing,P,P,X,X,
240,pursuing,P,pursuing|invariably,IP,invariably,I,I,X,X,
241,invariably,I,invariably|the,IT,the,T,T,X,X,
242,the,T,the|same,ST,same,S,S,X,X,
243,same,S,same|object,OS,object,O,O,X,X,
244,object,O,object|evinces,EO,evinces,E,E,X,X,
245,evinces,E,evinces|a,AE,a,A,A,X,X,
246,a,A,a|design,AD,design,D,D,X,X,
247,design,D,design|to,DT,to,T,T,X,X,
248,to,T,to|reduce,RT,reduce,R,R,X,X,
249,reduce,R,reduce|them,RT,them,T,T,X,X,
250,them,T,them|under,TU,under,U,U,X,X,
251,under,U,absolute,A,absolute,A,A,X,,
252,absolute,A,despotism,D,despotism,D,D,X,,
253,despotism,D,it,I,it,I,I,X,,
254,it,I,is,I,is,I,I,,,
255,is,I,their,T,their,T,T,X,,
256,their,T,right,R,right,R,R,X,,
257,right,R,it,I,it,I,I,X,,
258,it,I,is,I,is,I,I,,,
259,is,I,their,T,their,T,T,X,,
260,their,T,duty,D,duty,D,D,X,,
261,duty,D,to,T,to,T,T,X,,
262,to,T,throw,T,throw,T,T,,,
263,throw,T,off,O,off,O,O,X,,
264,off,O,such,S,such,S,S,X,,
265,such,S,government,G,government,G,G,X,,
266,government,G,and,A,and,A,A,X,,
267,and,A,to,T,to,T,T,X,,
268,to,T,provide,P,provide,P,P,X,,
269,provide,P,new,N,new,N,N,X,,
270,new,N,guards,G,guards,G,G,X,,
271,guards,G,for,F,for,F,F,X,,
272,for,F,their,T,their,T,T,X,,
273,their,T,future,F,future,F,F,X,,
274,future,F,security,S,security,S,S,X,,
275,security,S,such,S,such,S,S,,,
276,such,S,has,H,has,H,H,X,,
277,has,H,been,B,been,B,B,X,,
278,been,B,the,T,the,T,T,X,,
279,the,T,patient,P,patient,P,P,X,,
280,patient,P,sufferance,S,sufferance,S,S,X,,
281,sufferance,S,of,O,of,O,O,X,,
282,of,O,these,T,these,T,T,X,,
283,these,T,colonies,C,colonies,C,C,X,,
284,colonies,C,and,A,and,A,A,X,,
285,and,A,such,S,such,S,S,X,,
286,such,S,is,I,is,I,I,X,,
287,is,I,now,N,now,N,N,X,,
288,now,N,the,T,the,T,T,X,,
289,the,T,necessity,N,necessity,N,N,X,,
290,necessity,N,which,W,which,W,W,X,,
291,which,W,constrains,C,constrains,C,C,X,,
292,constrains,C,them,T,them,T,T,X,,
293,them,T,to,T,to,T,T,,,
294,to,T,alter,A,alter,A,A,X,,
295,alter,A,their,T,their,T,T,X,,
296,their,T,former,F,former,F,F,X,,
297,former,F,systems,S,systems,S,S,X,,
298,systems,S,of,O,of,O,O,X,,
299,of,O,government,G,government,G,G,X,,
300,government,G,the,T,the,T,T,X,,
301,the,T,history,H,history,H,H,X,,
302,history,H,of,O,of,O,O,X,,
303,of,O,the,T,the,T,T,X,,
304,the,T,present,P,present,P,P,X,,
305,present,P,king,K,king,K,K,X,,
306,king,K,of,O,of,O,O,X,,
307,of,O,great,G,great,G,G,X,,
308,great,G,britain,B,britain,B,B,X,,
309,britain,B,is,I,is,I,I,X,,
310,is,I,a,A,a,A,A,X,,
311,a,A,history,H,history,H,H,X,,
312,history,H,of,O,of,O,O,X,,
313,of,O,repeated,R,repeated,R,R,X,,
314,repeated,R,injuries,I,injuries,I,I,X,,
315,injuries,I,and,A,and,A,A,X,,
316,and,A,usurpations,U,usurpations,U,U,X,,
317,usurpations,U,all,A,all,A,A,X,,
318,all,A,having,H,having,H,H,X,,
319,having,H,in,I,in,I,I,X,,
320,in,I,direct,D,direct,D,D,X,,
321,direct,D,object,O,object,O,O,X,,
322,object,O,the,T,the,T,T,X,,
323,the,T,establishment,E,establishment,E,E,X,,
324,establishment,E,of,O,of,O,O,X,,
325,of,O,an,A,an,A,A,X,,
326,an,A,absolute,A,absolute,A,A,,,
327,absolute,A,tyranny,T,tyranny,T,T,X,,
328,tyranny,T,over,O,over,O,O,X,,
329,over,O,these,T,these,T,T,X,,
330,these,T,states,S,states,S,S,X,,
331,states,S,to,T,to,T,T,X,,
332,to,T,prove,P,prove,P,P,X,,
333,prove,P,this,T,this,T,T,X,,
334,this,T,let,L,let,L,L,X,,
335,let,L,facts,F,facts,F,F,X,,
336,facts,F,be,B,be,B,B,X,,
337,be,B,submitted,S,submitted,S,S,X,,
338,submitted,S,to,T,to,T,T,X,,
339,to,T,a,A,a,A,A,X,,
340,a,A,candid,C,candid,C,C,X,,
341,candid,C,world,W,world,W,W,X,,
342,world,W,he,H,he,H,H,X,,
343,he,H,has,H,has,H,H,,,
344,has,H,refused,R,refused,R,R,X,,
345,refused,R,his,H,his,H,H,X,,
346,his,H,assent,A,assent,A,A,X,,
347,assent,A,to,T,to,T,T,X,,
348,to,T,laws,L,laws,L,L,X,,
349,laws,L,the,T,the,T,T,X,,
350,the,T,most,M,most,M,M,X,,
351,most,M,wholesome,W,wholesome,W,W,X,,
352,wholesome,W,and,A,and,A,A,X,,
353,and,A,necessary,N,necessary,N,N,X,,
354,necessary,N,for,F,for,F,F,X,,
355,for,F,the,T,the,T,T,X,,
356,the,T,public,P,public,P,P,X,,
357,public,P,good,G,good,G,G,X,,
358,good,G,he,H,he,H,H,X,,
359,he,H,has,H,has,H,H,,,
360,has,H,forbidden,F,forbidden,F,F,X,,
361,forbidden,F,his,H,his,H,H,X,,
362,his,H,governors,G,governors,G,G,X,,
363,governors,G,to,T,to,T,T,X,,
364,to,T,pass,P,pass,P,P,X,,
365,pass,P,laws,L,laws,L,L,X,,
366,laws,L,of,O,of,O,O,X,,
367,of,O,immediate,I,immediate,I,I,X,,
368,immediate,I,and,A,and,A,A,X,,
369,and,A,pressing,P,pressing,P,P,X,,
370,pressing,P,importance,I,importance,I,I,X,,
371,importance,I,unless,U,unless,U,U,X,,
372,unless,U,suspended,S,suspended,S,S,X,,
373,suspended,S,in,I,in,I,I,X,,
374,in,I,their,T,their,T,T,X,,
375,their,T,operation,O,operation,O,O,X,,
376,operation,O,till,T,till,T,T,X,,
377,till,T,his,H,his,H,H,X,,
378,his,H,assent,A,assent,A,A,X,,
379,assent,A,should,S,should,S,S,X,,
380,should,S,be,B,be,B,B,X,,
381,be,B,obtained,O,obtained,O,O,X,,
382,obtained,O,and,A,and,A,A,X,,
383,and,A,when,W,when,W,W,X,,
384,when,W,so,S,so,S,S,X,,
385,so,S,suspended,S,suspended,S,S,,,
386,suspended,S,he,H,he,H,H,X,,
387,he,H,has,H,has,H,H,,,
388,has,H,utterly,U,utterly,U,U,X,,
389,utterly,U,neglected,N,neglected,N,N,X,,
390,neglected,N,to,T,to,T,T,X,,
391,to,T,attend,A,attend,A,A,X,,
392,attend,A,to,T,to,T,T,X,,
393,to,T,them,T,them,T,T,,,
394,them,T,he,H,he,H,H,X,,
395,he,H,has,H,has,H,H,,,
396,has,H,refused,R,refused,R,R,X,,
397,refused,R,to,T,to,T,T,X,,
398,to,T,pass,P,pass,P,P,X,,
399,pass,P,other,O,other,O,O,X,,
400,other,O,laws,L,laws,L,L,X,,
401,laws,L,for,F,for,F,F,X,,
402,for,F,the,T,the,T,T,X,,
403,the,T,accommodation,A,accommodation,A,A,X,,
404,accommodation,A,of,O,of,O,O,X,,
405,of,O,large,L,large,L,L,X,,
406,large,L,districts,D,districts,D,D,X,,
407,districts,D,of,O,of,O,O,X,,
408,of,O,people,P,people,P,P,X,,
409,people,P,unless,U,unless,U,U,X,,
410,unless,U,those,T,those,T,T,X,,
411,those,T,people,P,people,P,P,X,,
412,people,P,would,W,would,W,W,X,,
413,would,W,relinquish,R,relinquish,R,R,X,,
414,relinquish,R,their,T,the,T,T,X,,
415,their,T,right,R,right,R,R,X,,
416,right,R,of,O,of,O,O,X,,
417,of,O,representation,R,representation,R,R,X,,
418,representation,R,in,I,in,I,I,X,,
419,in,I,the,T,the,T,T,X,,
420,the,T,legislature,L,legislature,L,L,X,,
421,legislature,L,a,A,a,A,A,X,,
422,a,A,right,R,right,R,R,X,,
423,right,R,inestimable,I,inestimable,I,I,X,,
424,inestimable,I,to,T,to,T,T,X,,
425,to,T,them,T,them,T,T,,,
426,them,T,and,A,and,A,A,X,,
427,and,A,formidable,F,formidable,F,F,X,,
428,formidable,F,to,T,to,T,T,X,,
429,to,T,tyrants,T,tyrants,T,T,,,
430,tyrants,T,only,O,only,O,O,X,,
431,only,O,he,H,he,H,H,X,,
432,he,H,has,H,has,H,H,,,
433,has,H,called,C,called,C,C,X,,
434,called,C,together,T,together,T,T,X,,
435,together,T,legislative,L,legislative,L,L,X,,
436,legislative,L,bodies,B,bodies,B,B,X,,
437,bodies,B,at,A,at,A,A,X,,
438,at,A,places,P,places,P,P,X,,
439,places,P,unusual,U,unusual,U,U,X,,
440,unusual,U,uncomfortable,U,uncomfortable,U,U,,,
441,uncomfortable,U,and,A,and,A,A,X,,
442,and,A,distant,D,distant,D,D,X,,
443,distant,D,from,F,from,F,F,X,,
444,from,F,the,T,the,T,T,X,,
445,the,T,depositary,D,depository,D,D,X,,
446,depositary,D,of,O,of,O,O,X,,
447,of,O,their,T,their,T,T,X,,
448,their,T,public,P,public,P,P,X,,
449,public,P,records,R,records,R,R,X,,
450,records,R,for,F,for,F,F,X,,
451,for,F,the,T,the,T,T,X,,
452,the,T,sole,S,sole,S,S,X,,
453,sole,S,purpose,P,purpose,P,P,X,,
454,purpose,P,of,O,of,O,O,X,,
455,of,O,fatiguing,F,fatiguing,F,F,X,,
456,fatiguing,F,them,T,them,T,T,X,,
457,them,T,into,I,into,I,I,X,,
458,into,I,compliance,C,compliance,C,C,X,,
459,compliance,C,with,W,with,W,W,X,,
460,with,W,his,H,his,H,H,X,,
461,his,H,measures,M,measures,M,M,X,,
462,measures,M,he,H,he,H,H,X,,
463,he,H,has,H,has,H,H,,,
464,has,H,dissolved,D,dissolved,D,D,X,,
465,dissolved,D,representative,R,representative,R,R,X,,
466,representative,R,houses,H,houses,H,H,X,,
467,houses,H,repeatedly,R,repeatedly,R,R,X,,
468,repeatedly,R,for,F,for,F,F,X,,
469,for,F,opposing,O,opposing,O,O,X,,
470,opposing,O,with,W,with,W,W,X,,
471,with,W,manly|he,HM,manly,M,M,X,X,
472,manly,M,firmness|has,FH,firmness,F,F,X,X,
473,firmness,F,his|refused,HR,his,H,H,X,X,
474,his,H,invasions|for,FI,invasions,I,I,X,X,
475,invasions,I,on|a,AO,on,O,O,X,X,
476,on,O,the|long,LT,the,T,T,X,X,
477,the,T,rights|time,RT,rights,R,R,X,X,
478,rights,R,of|after,AO,of,O,O,X,X,
479,of,O,the|such,ST,the,T,T,X,X,
480,the,T,people|dissolutions,DP,people,P,P,X,X,
481,people,P,he|to,HT,he,H,H,X,X,
482,he,H,has|cause,CH,has,H,H,,X,
483,has,H,refused|others,OR,refused,R,R,X,X,
484,refused,R,for|to,FT,for,F,F,X,X,
485,for,F,a|be,AB,a,A,A,X,X,
486,a,A,long|elected,EL,long,L,L,X,X,
487,long,L,time|whereby,TW,time,T,T,X,X,
488,time,T,after|the,AT,after,A,A,X,X,
489,after,A,such|legislative,LS,such,S,S,X,X,
490,such,S,powers,P,dissolutions,D,D,X,X,
491,dissolutions,D,incapable,I,to,T,T,X,X,
492,to,T,of,O,cause,C,C,X,X,
493,cause,C,annihilation,A,others,O,O,X,X,
494,others,O,have,H,to,T,T,X,X,
495,to,T,returned,R,be,B,B,X,X,
496,be,B,to,T,elected,E,E,X,X,
497,elected,E,the,T,whereby,W,W,X,X,
498,whereby,W,people,P,the,T,T,X,X,
499,the,T,at,A,legislative,L,L,X,X,
500,legislative,L,large,L,powers,P,P,X,X,
501,powers,P,for,F,incapable,I,I,X,X,
502,incapable,I,their|for,FT,of,O,O,X,X,
503,of,O,exercise|their,ET,annihilation,A,A,X,X,
504,annihilation,A,the|exercise,ET,have,H,H,X,X,
505,have,H,state|the,ST,returned,R,R,X,X,
506,returned,R,remaining|state,RS,to,T,T,X,X,
507,to,T,in|remaining,IR,the,T,T,,X,
508,the,T,the|in,IT,people,P,P,X,X,
509,people,P,the,T,at,A,A,X,X,
510,at,A,meantime,M,large,L,L,X,X,
511,large,L,exposed,E,for,F,F,X,X,
512,for,F,to,T,their,T,T,X,,
513,their,T,all,A,exercise,E,E,X,X,
514,exercise,E,the,T,the,T,T,X,,
515,the,T,danger,D,state,S,S,X,X,
516,state,S,of,O,remaining,R,R,X,X,
517,remaining,R,invasion,I,in,I,I,X,,
518,in,I,from,F,the,T,T,X,X,
519,the,T,without,W,mean,M,M,X,X,
520,meantime,M,and,A,time,T,E,X,X,X
521,exposed,E,convulsions,C,exposed,E,T,X,X,X
522,to,T,within,W,to,T,A,X,X,X
523,all,A,he,H,all,A,T,X,X,X
524,the,T,has,H,the,T,D,X,X,X
525,danger,D,endeavored,E,dangers,D,O,X,X,X
526,of,O,to,T,of,O,T,X,,X
527,invasion,I,prevent,P,invasion,I,F,X,X,X
528,from,F,the,T,from,F,W,X,X,X
529,without,W,population,P,without,W,A,X,X,X
530,and,A,of,O,and,A,C,X,X,X
531,convulsions,C,these,T,convulsions,C,W,X,X,X
532,within,W,states,S,within,W,H,X,X,X
533,he,H,for,F,he,H,H,,X,
534,has,H,that,T,has,H,E,X,X,X
535,endeavored,E,purpose,P,endeavoured,E,T,X,X,X
536,to,T,obstructing,O,to,T,P,X,X,X
537,prevent,P,the,T,prevent,P,T,X,,X
538,the,T,laws,L,the,T,P,X,X,X
539,population,P,of,O,population,P,O,X,,X
540,of,O,naturalization,N,of,O,T,X,X,X
541,these,T,of,O,these,T,S,X,X,X
542,states,S,foreigners,F,states,S,F,X,,X
543,for,F,refusing,R,for,F,T,X,X,X
544,that,T,to,T,that,T,P,X,X,X
545,purpose,P,pass,P,purpose,P,O,X,X,X
546,obstructing,O,others,O,obstructing,O,T,X,X,X
547,the,T,to,T,the,T,L,X,X,X
548,laws,L,encourage,E,laws,L,F,X,X,X
549,of,O,their,T,for,F,N,X,X,X
550,naturalization,N,migration,M,naturalization,N,O,X,X,X
551,of,O,hither,H,of,O,F,X,X,X
552,foreigners,F,and,A,foreigners,F,R,X,X,X
553,refusing,R,raising,R,refusing,R,T,X,X,X
554,to,T,the,T,to,T,P,X,X,X
555,pass,P,conditions,C,pass,P,O,X,X,X
556,others,O,of,O,others,O,T,X,X,X
557,to,T,new,N,to,T,E,X,X,X
558,encourage,E,appropriations,A,encourage,E,T,X,X,X
559,their,T,of,O,their,T,M,X,X,X
560,migration,M,lands,L,migrations,M,H,X,X,X
561,hither,H,he,H,hither,H,A,X,X,X
562,and,A,has,H,and,A,R,X,X,X
563,raising,R,obstructed,O,raising,R,T,X,X,X
564,the,T,the,T,the,T,C,X,X,X
565,conditions,C,administration,A,conditions,C,O,X,X,X
566,of,O,of,O,of,O,N,X,X,X
567,new,N,justice,J,new,N,A,X,X,X
568,appropriations,A,by,B,appropriations,A,O,X,X,X
569,of,O,refusing,R,of,O,L,X,X,X
570,lands,L,his,H,lands,L,H,X,,X
571,he,H,assent,A,he,H,H,,X,
572,has,H,to,T,has,H,O,X,X,X
573,obstructed,O,laws,L,obstructed,O,T,X,X,X
574,the,T,for,F,the,T,A,X,X,X
575,administration,A,establishing,E,administration,A,O,X,X,X
576,of,O,judiciary,J,of,O,J,X,,X
577,justice,J,powers,P,justice,J,B,X,X,X
578,by,B,he,H,by,B,R,X,X,X
579,refusing,R,has,H,refusing,R,H,X,,X
580,his,H,made,M,his,H,A,X,X,X
581,assent,A,judges,J,assent,A,T,X,X,X
582,to,T,dependent,D,to,T,L,X,X,X
583,laws,L,on,O,laws,L,F,X,X,X
584,for,F,his,H,for,F,E,X,X,X
585,establishing,E,will,W,establishing,E,J,X,X,X
586,judiciary,J,alone,A,judiciary,J,P,X,X,X
587,powers,P,for,F,powers,P,H,X,X,X
588,he,H,the,T,he,H,H,,X,
589,has,H,tenure,T,has,H,M,X,X,X
590,made,M,of,O,made,M,J,X,X,X
591,judges,J,their,T,judges,J,D,X,X,X
592,dependent,D,offices,O,dependent,D,O,X,,X
593,on,O,and,A,on,O,H,X,X,X
594,his,H,the,T,his,H,W,X,X,X
595,will,W,amount,A,will,W,A,X,,X
596,alone,A,and,A,alone,A,F,X,X,X
597,for,F,payment,P,for,F,T,X,X,X
598,the,T,of,O,the,T,T,,X,
599,tenure,T,their,T,tenure,T,O,X,X,X
600,of,O,salaries,S,of,O,T,X,X,X
601,their,T,he,H,their,T,O,X,X,X
602,offices,O,has,H,offices,O,A,X,X,X
603,and,A,erected,E,and,A,T,X,X,X
604,the,T,a,A,the,T,A,X,,X
605,amount,A,multitude,M,amount,A,A,,X,
606,and,A,of,O,and,A,P,X,X,X
607,payment,P,new,N,payment,P,O,X,X,X
608,of,O,offices,O,of,O,T,X,X,X
609,their,T,and,A,their,T,S,X,X,X
610,salaries,S,sent,S,salaries,S,H,X,X,X
611,he,H,hither,H,he,H,H,,,
612,has,H,swarms,S,has,H,E,X,X,X
613,erected,E,of,O,erected,E,A,X,X,X
614,a,A,officers,O,a,A,M,X,X,X
615,multitude,M,to,T,multitude,M,O,X,X,X
616,of,O,harass,H,of,O,N,X,X,X
617,new,N,our,O,new,N,O,X,,X
618,offices,O,people,P,offices,O,A,X,X,X
619,and,A,and,A,and,A,S,X,X,X
620,sent,S,eat,E,sent,S,H,X,X,X
621,hither,H,out,O,hither,H,S,X,X,X
