id,group,witness,where_or_role,event,time_stated,clock_basis,date_of_statement,source,note
B9,neighbourhood,Matthew Turner,"owner, NE cor. DeKoven and Jefferson","leaving the Jesuit church at nine saw the light; the fire had crossed the alley behind the barn; crossed Taylor about 9.30",fire started about 8.45,church service ending 9.00,1884-85,"Andreas II:715",
B10,neighbourhood,Christopher Warner,"SW cor. Harrison and Jefferson","went to the fire after seeing it; it had crossed the alley; at Taylor St his watch read 9.30",8.45,watch,1884-85,"Andreas II:715-716",
B11,neighbourhood,George W. Spofford,"SE cor. Harrison and Halsted","noticed a bright light for a long time; heard the America hose bell about half past nine",8.50,none stated,1884-85,"Andreas II:716",
B12,neighbourhood,James Kubicek,"in Shults's saloon, cor. DeKoven and Jefferson","Shults gave the alarm; Kubicek glanced at the clock",8.45,saloon clock,1884-85,"Andreas II:716",
B13,neighbourhood,Frank Shults and Mary Hruby,"saloon cor. DeKoven and Jefferson","Mrs Hruby saw the fire in O'Leary's barn from a second-storey window",not later than 8.45,"saloon clock, 'thoroughly reliable'",1884-85,"Andreas II:716",
B14,neighbourhood,Joseph Puzner,"442 Clinton St","saw the light; moved his brothers-in-law's goods from 418 Jefferson by nine",8.45,none stated,1884-85,"Andreas II:716",
B15,neighbourhood,Bohemian residents (unnamed),"near the spot","many positive the fire began as early as 8.30; those nearest agree not later than 8.45",8.30 to 8.45,various,1884-85,"Andreas II:716",
B16,neighbourhood,John Garrick; William B. Bateham,"","Andreas's summary list",8.40 (Garrick); 8.45 (Bateham),none stated,1884-85,"Andreas II:719",
B17,neighbourhood,Bruno H. Goll,"druggist, NW cor. Canal and Twelfth (alarm box)","a man in shirt sleeves asked for an alarm near the O'Leary house; Goll turned it in and looked at his watch; second alarm about ten minutes later; went to the fire about 9.30 and found perhaps two engines at work","9.00 to 9.05 (first request); about 9.00 by his watch",watch,1884-85 affidavit,"Andreas II:716","Lee says Goll refused the key; Goll's affidavit says he turned in two alarms; no box alarm reached the courthouse then"
C1,department,William J. Brown,"night telegraph operator, courthouse","noticed a light in the south-west soon after nine; watchman called for Box 342; alarm struck",light soon after 9.00; Box 342 struck 9.32,office clock,1871-11-23 inquiry; 1884-85,"Tribune 24 Nov 1871; Andreas II:711","his own opinion: fire began as early as 9.00"
C2,department,Mathias Schaffer,"watchman, courthouse tower","first saw the light through his spy-glass; located it wrongly near Canalport and Halsted; called for Box 342",9.28,tower clock,1871-11-23 inquiry; 1884-85,"Tribune 24 Nov 1871; Andreas II:712","Musham 1940 gives the box as struck at 9.21"
C3,department,William Musham,"foreman, Little Giant No. 6","still alarm from the man on watch; engine in position at DeKoven and Jefferson in two and a half minutes; line laid through O'Leary's lot; two barns and three sheds in flames",still alarm 9.15; at work 9.17 and a half,engine-house clock,1871-11-24 inquiry; 1884-85,"Tribune 25 Nov 1871; Andreas II:712",
C4,department,John Campion,"assistant foreman No. 6","still alarm; engine began work; fire had spread over five sheds and barns; no other company for more than half an hour",still alarm about 9.20; work about 9.24,none stated,1884-85,"Andreas II:712","opinion: fire began as early as 9.00"
C5,department,Christian Schimmels,"foreman, Chicago No. 5","in position with apparent control by 9.35; fire had been going about twenty minutes when No. 5 arrived",9.35 (in position); Andreas's list 9.13,none stated,1871-11-24 inquiry; 1884-85,"Tribune 25 Nov 1871; Andreas II:712-713, 719",
C6,department,Henry V. Coleman,"engineer No. 5","someone outside cried fire",about 9.20; Andreas's list 9.00,none stated,1884-85,"Andreas II:713, 719","impression from neighbours that the blaze commenced before nine"
C7,department,Michael W. Conway,"No. 5, later chief 3rd battalion","fire commenced at or about nine; no alarm until 9.28",about 9.00,none stated,1871-11-25 inquiry; 1884-85,"Tribune 26 Nov 1871; Andreas II:713",
C8,department,Maurice W. Shay,"foreman Titsworth No. 13, 97 Dearborn St","perceived the light of the flames downtown; no alarm for some fifteen minutes",light about 9.10,none stated,1884-85,"Andreas II:713","opinion: fire began at or before nine"
C9,department,Robert A. Williams,"fire marshal","first alarm by his clock",about 9.15,his clock,1871-12-02 inquiry; 1884-85,"Tribune 3 Dec 1871; Andreas II:713",
C10,department,Dennis J. Swenie,"foreman No. 14, 38 E. Chicago Ave","notified of the fire; region already bright with flames",9.25,watch,1871-11-28 inquiry; 1884-85,"Tribune 29 Nov 1871; Andreas II:713",
C11,department,David M. Hyland,"No. 17, 80 W. Lake St","still alarm from their lookout; then the courthouse alarm for Box 342",about 9.27; Andreas's list 9.07,none stated,1884-85,"Andreas II:713, 719",
C12,department,Leo Meyers,"foreman Tempest hose","call for Box 342; on the ground at Clinton and Taylor; flames burning fully half an hour",call about 9.30; on ground 9.33,none stated,1884-85,"Andreas II:713",
C13,department,Charles S. Petrie,"assistant marshal; then on a hook and ladder truck","captain in the tower called fire; Petrie's watch when he reached the street; still alarm sent to No. 5",watch 9.12; still alarm to No. 5 at 9.10,watch,1884-85,"Andreas II:713","opinion: fire began not later than nine"
C14,department,Henry Bulwinkle,"hose company","third alarm",9.15 (as reported),none stated,1871-12-01 inquiry,"Tribune 2 Dec 1871 ",
C15,department,Musham 1940 (department records and his notes),"","Box 342 struck; Little Giant at work; second alarm",9.21; 9.24; 9.31,department,1940,"Musham 1940 pp. 158 ff.",
D1,official,Board of Police and Fire Commissioners,"report of 12 Dec 1871","Sullivan first noticed the flames coming out of the barn; first alarm struck",discovery 'no more than 20 to 25 minutes past 9'; alarm 9.30,none stated,1871-12-12,"Chicago Evening Post 12 Dec 1871 (chicagology transcription); Andreas II:709-711",
D2,official,Board of Police annual report,"year ending 31 Mar 1872","the fire commenced",about half past nine,none stated,1872,"Report of the Board of Police 1872 pp. 12-13 (archive.org)",
D3,press,Chicago Evening Journal extra,"9 Oct 1871","fire broke out",about 9 o'clock (extra); 9.30 (its later chronological table),none stated,1871-10-09,"Musham 1940 p. 152; Bales p. 193 n.",
D4,press,Chicago Tribune,"11 Oct 1871 p. 1","a small cow-barn emitted a bright light followed by a blaze",9.30,none stated,1871-10-11,"Chronicling America sn82014064 1871-10-11 p. 1",
D5,secondary,Andreas 1885 (and C. C. P. Holden),"History of Chicago II","conclusion: the fire started as early as 8.45 instead of 9.30",8.45,synthesis,1885,"Andreas II:701, 719",
D6,secondary,Musham 1940,"Papers in Illinois History","cow kicked the lamp",between 8.30 and 8.45 (narrative); 8.30 to 9.00 (conclusion),synthesis,1940,"Musham 1940 pp. 96, 158",
D7,secondary,Bales 2002,"chapter 4 and App. A","the fire began no later than 8.45; O'Learys in bed and asleep at 8.30","8.45",synthesis (Andreas's witnesses),2002,"Bales pp. 8:45 passages (Open Library fragments q0075/q0078)",
