id,feature,lat,lon,source,note
labaz,Labaz (food cache) / 31 Jan camp,61.7466967,59.4494443,"dyatlovpass.com Google My Maps placemark 'Jan 31 Camp & Cache site (ru- лабаз)'","Radiogram 2 Mar 1959: found 400 m from the searchers' camp above the Auspiya; Maslennikov: 100 m from the river bank, 500 m below the forest edge"
searchers_camp_1959,Searchers' winter camp 1959 (Auspiya),61.7431330,59.4507000,"dyatlovpass.com Google My Maps placemark",""
helipad_1959,1959 helipad,61.7549781,59.4388246,"dyatlovpass.com Google My Maps placemark",""
height_835,'Height 835' (spur E of the summit),61.7547685,59.4542313,"dyatlovpass.com Google My Maps placemark",""
kholat_syakhl_summit_map,Kholat Syakhl summit (dyatlovpass.com placemark),61.7545756,59.4177103,"dyatlovpass.com Google My Maps placemark 'Kholat Syakhl 1079'","1959 map height 1079 m; modern maps 1096.7 m"
kholat_syakhl_summit_dem,Kholat Syakhl summit (highest Copernicus GLO-30 pixel),61.7544444,59.4177778,"This study: DEM maximum within +/-1 km of the placemark","DEM value 1096.0 m (EGM2008); ~50 m from the placemark"
kholat_syakhl_summit_ruwiki,Kholat Syakhl summit (ru.wikipedia infobox),61.7550000,59.4225000,"ru.wikipedia.org/wiki/Холатчахль geohack params 61_45_18_N_59_25_21_E","~250 m E of the DEM maximum (infobox precision only 1 arcsec, position generic)"
pass_memorial_osm,Dyatlov Pass memorial (plaques on the outlier rock) - OSM,61.7548411,59.4630442,"OpenStreetMap node 8152230817 (historic=memorial, name 'Перевал Дятлова'), via Nominatim","Saddle node 3678862645 'Перевал Дятлова' at 61.7550437 59.4629146"
pass_ruwiki,Dyatlov Pass (ru.wikipedia infobox),61.7547222,59.4627778,"ru.wikipedia.org/wiki/Перевал_Дятлова geohack params 61_45_17_N_59_27_46_E","~15 m from the OSM memorial node"
incident_enwiki,'Dyatlov Pass incident' (en.wikipedia infobox point),61.7544444,59.4450000,"en.wikipedia.org/wiki/Dyatlov_Pass_incident geohack params 61_45_16_N_59_26_42_E","Generic point ~950 m W of the pass and ~500 m S of the tent-cedar line; not a specific feature"
